Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,31568.77,13.75,3.0,1.815,2295.91
1988-89,62929.53,24.93,6.939,3.111,2524.25
1990-91,63351.88,27.65,6.459,3.001,2291.21
1991-92,167112.99,84.27,7.346,4.675,1983.07
1992-93,88853.49,53.39,6.111,2.627,1664.23
1993-94,110186.66,63.81,5.861,2.287,1726.79
1994-95,201587.21,143.59,9.946,4.931,1403.91
1995-96,1489573.81,1110.84,19.892,14.106,1340.94
1996-97,378409.97,298.56,6.199,3.899,1267.45
1997-98,530994.43,456.74,13.385,6.345,1162.57
1998-99,2406715.7,2329.3,40.093,24.235,1033.24
1999-00,573580.16,619.23,16.891,8.504,926.28
2000-01,841558.76,771.38,17.825,8.469,1090.98
2001-02,1495185.34,1056.47,19.98,10.5,1415.27
2002-03,2277874.24,1496.65,19.799,11.033,1521.98
2003-04,3709873.56,2625.03,31.256,18.654,1413.27
2004-05,2970957.94,2570.85,25.015,15.23,1155.63
2005-06,2070388.27,2034.52,20.197,10.974,1017.63
2006-07,1493980.52,1490.26,14.31,7.076,1002.5
2007-08,2700118.88,3640.35,17.707,12.376,741.72
2008-09,1803101.48,2405.21,14.063,6.861,749.66
2009-10,1578591.08,2089.73,14.308,5.971,755.4
2010-11,1323262.79,1797.95,11.637,4.264,735.98
2011-12,1478792.03,2394.57,7.584,2.896,617.56
2012-13,2589786.45,4275.43,8.689,3.634,605.74
2013-14,3806105.77,7850.52,12.686,5.734,484.82
2014-15,3370424.25,6932.13,12.421,5.278,486.2
2015-16,1496130.63,3815.38,7.307,3.55,392.13
2016-17,1255238.37,2692.83,5.869,2.365,466.14
2017-18,2411006.87,6529.46,10.761,5.188,369.25
2018-19,1620500.25,4889.08,6.99,3.619,331.45
2019-20,635448.31,2489.85,3.478,2.085,255.22
2020-21,4672698.64,10298.38,14.552,6.729,453.73
2021-22,8405057.24,21154.68,19.655,11.449,397.31
2022-23,5911936.44,17027.06,13.296,7.707,347.21
2023-24 (April-December),1903410.53,5986.72,8.122,3.952,317.94
Total,67926293.24,123540.55000000002,0.0,0.0,0.0
