Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,46718.8,45.39,4.44,5.991,1029.28
1988-89,64650.76,52.77,7.128,6.586,1225.14
1990-91,24060.01,22.68,2.453,2.461,1060.85
1991-92,15307.4,29.21,0.673,1.621,524.05
1992-93,37004.6,84.33,2.545,4.149,438.81
1993-94,61549.88,122.68,3.274,4.397,501.71
1994-95,88371.92,162.55,4.36,5.582,543.66
1995-96,66138.25,139.79,0.883,1.775,473.13
1996-97,101271.52,179.58,1.659,2.345,563.94
1997-98,106177.76,267.05,2.676,3.71,397.6
1998-99,63315.37,172.63,1.055,1.796,366.77
1999-00,77941.24,203.62,2.295,2.796,382.78
2000-01,113982.7,324.82,2.414,3.566,350.91
2001-02,102694.77,290.19,1.372,2.884,353.89
2002-03,100385.81,275.94,0.873,2.034,363.8
2003-04,149537.45,288.18,1.26,2.048,518.9
2004-05,395674.29,470.74,3.332,2.789,840.54
2005-06,426025.61,622.04,4.156,3.355,684.88
2006-07,347931.58,755.81,3.333,3.589,460.34
2007-08,618571.74,930.12,4.056,3.162,665.05
2008-09,284598.31,1298.01,2.22,3.703,219.26
2009-10,230294.77,1599.66,2.087,4.571,143.96
2010-11,287749.48,1605.3,2.53,3.807,179.25
2011-12,310535.12,1931.34,1.593,2.336,160.79
2012-13,333324.82,1826.8,1.118,1.553,182.46
2013-14,329004.53,2462.51,1.097,1.798,133.61
2014-15,324932.13,2737.35,1.197,2.084,118.7
2015-16,343781.35,2575.38,1.679,2.396,133.49
2016-17,340566.6,2035.55,1.592,1.788,167.31
2017-18,333566.92,2132.03,1.489,1.694,156.46
2018-19,350563.75,2298.66,1.512,1.701,152.51
2019-20,346728.44,2379.61,1.898,1.993,145.71
2020-21,325214.12,2171.2,1.013,1.419,149.79
2021-22,269511.65,1900.55,0.63,1.029,141.81
2022-23,307745.69,2397.79,0.692,1.085,128.35
2023-24 (April-December),263728.81,2242.64,1.125,1.481,117.6
Total,7989157.95,39034.5,0.0,0.0,0.0
