Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,54784.08,37.15,5.207,4.903,1474.67
1988-89,65241.9,48.28,7.194,6.026,1351.32
1990-91,79100.08,77.67,8.064,8.429,1018.41
1991-92,141708.15,152.77,6.229,8.476,927.59
1992-93,125990.48,140.14,8.665,6.895,899.03
1993-94,117294.3,167.39,6.24,6.0,700.72
1994-95,149047.64,218.25,7.354,7.494,682.92
1995-96,313412.63,298.44,4.185,3.79,1050.17
1996-97,243466.14,397.37,3.988,5.189,612.69
1997-98,156545.27,337.08,3.946,4.683,464.42
1998-99,131843.88,299.83,2.196,3.12,439.73
1999-00,164629.3,364.42,4.848,5.004,451.76
2000-01,246189.94,576.84,5.215,6.333,426.79
2001-02,444909.65,709.74,5.945,7.054,626.86
2002-03,981399.29,1020.14,8.53,7.52,962.02
2003-04,695299.08,940.13,5.858,6.681,739.58
2004-05,777049.53,1037.01,6.543,6.144,749.32
2005-06,413841.82,930.32,4.037,5.018,444.84
2006-07,508277.02,975.1,4.868,4.63,521.26
2007-08,1651078.68,2019.88,10.827,6.867,817.41
2008-09,1721580.92,2383.35,13.427,6.799,722.34
2009-10,1038977.67,2055.56,9.417,5.873,505.45
2010-11,1168253.9,2869.21,10.274,6.804,407.17
2011-12,1345094.41,3733.02,6.899,4.515,360.32
2012-13,1737838.44,4948.18,5.831,4.206,351.21
2013-14,1534248.24,5467.25,5.114,3.993,280.63
2014-15,1071162.81,4801.44,3.948,3.656,223.09
2015-16,667557.58,4685.36,3.26,4.359,142.48
2016-17,721016.09,4219.97,3.371,3.706,170.86
2017-18,601627.48,4195.31,2.685,3.333,143.4
2018-19,743139.37,4593.74,3.206,3.4,161.77
2019-20,582010.75,4628.48,3.185,3.876,125.75
2020-21,1208781.25,6535.19,3.765,4.27,184.96
2021-22,1415584.54,7866.72,3.31,4.258,179.95
2022-23,1519992.58,9387.02,3.419,4.249,161.92
2023-24 (April-December),839947.14,6512.02,3.584,4.299,128.98
Total,25377922.03,89629.77,0.0,0.0,0.0
