Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,46515.23,43.18,4.421,5.699,1077.24
1988-89,22661.52,24.54,2.499,3.063,923.45
1990-91,20869.89,27.26,2.128,2.958,765.59
1991-92,36673.45,43.4,1.612,2.408,845.01
1992-93,9833.88,29.56,0.676,1.454,332.68
1993-94,27445.62,54.11,1.46,1.939,507.22
1994-95,28180.28,52.38,1.39,1.799,538.0
1995-96,24086.15,64.42,0.322,0.818,373.89
1996-97,35115.11,72.01,0.575,0.94,487.64
1997-98,19276.2,55.78,0.486,0.775,345.58
1998-99,21748.39,60.46,0.362,0.629,359.72
1999-00,25009.6,74.38,0.737,1.021,336.24
2000-01,118389.56,154.56,2.508,1.697,765.98
2001-02,122437.19,157.5,1.636,1.565,777.38
2002-03,78323.75,153.52,0.681,1.132,510.19
2003-04,259241.86,201.67,2.184,1.433,1285.48
2004-05,250696.05,183.89,2.111,1.089,1363.29
2005-06,211214.52,183.9,2.06,0.992,1148.53
2006-07,195167.37,218.15,1.869,1.036,894.65
2007-08,299363.5,300.69,1.963,1.022,995.59
2008-09,157580.39,454.9,1.229,1.298,346.41
2009-10,288774.21,364.39,2.617,1.041,792.49
2010-11,189538.83,395.51,1.667,0.938,479.23
2011-12,423071.86,866.81,2.17,1.048,488.08
2012-13,530114.08,1387.16,1.779,1.179,382.16
2013-14,612984.54,1850.88,2.043,1.352,331.19
2014-15,662498.64,1780.93,2.442,1.356,372.0
2015-16,629517.14,1805.32,3.075,1.68,348.7
2016-17,508433.9,1591.86,2.377,1.398,319.4
2017-18,592809.98,1967.18,2.646,1.563,301.35
2018-19,704268.77,2315.8,3.038,1.714,304.11
2019-20,467814.03,1959.48,2.56,1.641,238.74
2020-21,480123.76,2321.31,1.495,1.517,206.83
2021-22,531140.22,2298.21,1.242,1.244,231.11
2022-23,838015.52,3509.32,1.885,1.588,238.8
2023-24 (April-December),662217.63,2794.59,2.826,1.845,236.96
Total,10131152.620000001,29819.010000000002,0.0,0.0,0.0
