Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,108855.05,93.18,10.345,12.298,1168.22
1988-89,137430.07,127.92,15.153,15.965,1074.34
1990-91,160762.27,177.72,16.39,19.287,904.58
1991-92,233939.92,369.99,10.284,20.528,632.29
1992-93,303613.89,590.56,20.881,29.056,514.11
1993-94,453803.14,785.69,24.14,28.161,577.59
1994-95,388547.61,603.96,19.17,20.739,643.33
1995-96,361996.17,575.48,4.834,7.308,629.03
1996-97,582667.68,1012.4,9.545,13.22,575.53
1997-98,497938.6,1185.16,12.552,16.464,420.14
1998-99,617764.77,1652.78,10.291,17.196,373.77
1999-00,611876.77,1414.86,18.019,19.43,432.46
2000-01,685829.5,1501.7,14.527,16.487,456.7
2001-02,641504.68,1392.54,8.572,13.84,460.67
2002-03,490941.9,1312.64,4.267,9.677,374.01
2003-04,694629.64,1468.48,5.852,10.435,473.03
2004-05,1051851.11,2316.16,8.857,13.722,454.14
2005-06,950316.55,2451.79,9.27,13.225,387.6
2006-07,793504.28,2102.52,7.6,9.983,377.41
2007-08,1166902.77,3456.25,7.652,11.75,337.62
2008-09,943133.3,4383.31,7.356,12.504,215.16
2009-10,902212.9,4513.51,8.177,12.896,199.89
2010-11,858852.28,4615.39,7.553,10.945,186.08
2011-12,1095121.84,5516.04,5.617,6.671,198.53
2012-13,1166927.82,6536.52,3.915,5.556,178.52
2013-14,1463069.01,10665.64,4.877,7.79,137.18
2014-15,1492527.01,11150.24,5.501,8.489,133.86
2015-16,1457982.32,9160.54,7.121,8.523,159.16
2016-17,1266466.03,8153.2,5.922,7.161,155.33
2017-18,1205247.37,8650.71,5.379,6.873,139.32
2018-19,1378462.2,10130.64,5.946,7.498,136.07
2019-20,1393449.63,10055.01,7.627,8.421,138.58
2020-21,1542276.22,10648.13,4.803,6.957,144.84
2021-22,1078546.39,8394.35,2.522,4.543,128.48
2022-23,1515284.91,13532.49,3.408,6.125,111.97
2023-24 (April-December),1054182.65,10433.37,4.498,6.888,101.04
Total,30748418.25,161130.87,0.0,0.0,0.0
