Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,20343.44,7.82,1.933,1.032,2601.46
1988-89,36374.87,14.76,4.011,1.842,2464.42
1990-91,33902.29,18.93,3.456,2.054,1790.93
1991-92,48666.57,27.42,2.139,1.521,1774.86
1992-93,92152.09,65.46,6.338,3.221,1407.76
1993-94,87450.44,77.93,4.652,2.793,1122.17
1994-95,86277.25,66.88,4.257,2.297,1290.03
1995-96,139313.48,132.48,1.86,1.682,1051.58
1996-97,385066.74,357.67,6.308,4.67,1076.6
1997-98,303359.74,303.03,7.647,4.21,1001.09
1998-99,121107.98,168.94,2.018,1.758,716.87
1999-00,227348.25,273.55,6.695,3.757,831.1
2000-01,216116.29,269.01,4.578,2.953,803.38
2001-02,288499.89,287.07,3.855,2.853,1004.98
2002-03,392963.01,281.8,3.416,2.077,1394.47
2003-04,550181.17,426.68,4.635,3.032,1289.45
2004-05,584916.19,594.08,4.925,3.52,984.57
2005-06,344927.66,392.3,3.365,2.116,879.24
2006-07,296889.4,372.38,2.844,1.768,797.28
2007-08,340022.39,479.83,2.23,1.631,708.63
2008-09,349363.01,545.32,2.725,1.556,640.66
2009-10,218471.91,441.29,1.98,1.261,495.08
2010-11,241053.78,497.61,2.12,1.18,484.42
2011-12,298344.22,660.92,1.53,0.799,451.41
2012-13,237349.81,599.61,0.796,0.51,395.84
2013-14,392576.22,968.08,1.309,0.707,405.52
2014-15,1040098.53,2792.75,3.833,2.126,372.43
2015-16,396158.15,1268.96,1.935,1.181,312.19
2016-17,538954.96,1364.64,2.52,1.199,394.94
2017-18,895244.15,2537.47,3.996,2.016,352.81
2018-19,418483.9,1147.5,1.805,0.849,364.69
2019-20,257816.13,942.49,1.411,0.789,273.55
2020-21,410003.4,1253.32,1.277,0.819,327.13
2021-22,1327780.48,3800.05,3.105,2.057,349.41
2022-23,1123719.02,3118.69,2.527,1.412,360.32
2023-24 (April-December),424487.46,1206.71,1.811,0.797,351.77
Total,13165784.270000001,27763.429999999997,0.0,0.0,0.0
