Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,100824.93,89.83,9.582,11.856,1122.4
1988-89,121886.81,106.48,13.439,13.29,1144.69
1990-91,150679.12,154.12,15.362,16.726,977.67
1991-92,302608.72,237.27,13.302,13.164,1275.38
1992-93,252409.41,315.9,17.36,15.543,799.02
1993-94,287909.21,397.74,15.316,14.256,723.86
1994-95,341912.41,405.99,16.869,13.941,842.17
1995-96,561638.19,693.83,7.5,8.811,809.48
1996-97,634697.03,746.83,10.397,9.752,849.85
1997-98,299039.68,566.92,7.538,7.875,527.48
1998-99,259516.56,587.94,4.323,6.117,441.4
1999-00,230778.35,610.48,6.796,8.383,378.03
2000-01,376675.77,717.22,7.978,7.874,525.19
2001-02,641523.84,744.75,8.572,7.402,861.39
2002-03,500107.97,775.99,4.347,5.721,644.48
2003-04,1005254.17,1113.69,8.469,7.914,902.63
2004-05,1185607.01,1289.66,9.983,7.64,919.32
2005-06,1068750.59,1358.21,10.426,7.326,786.88
2006-07,883566.02,1810.78,8.463,8.598,487.95
2007-08,1383968.01,3155.34,9.076,10.727,438.61
2008-09,1260563.3,4830.58,9.831,13.779,260.95
2009-10,1204769.61,4914.39,10.92,14.042,245.15
2010-11,1238487.26,4920.51,10.891,11.668,251.7
2011-12,1764734.75,6629.9,9.051,8.018,266.18
2012-13,1807534.48,6355.8,6.065,5.402,284.39
2013-14,1896068.55,7567.54,6.32,5.527,250.55
2014-15,1556954.79,7757.06,5.738,5.906,200.71
2015-16,1654093.81,8989.35,8.079,8.364,184.01
2016-17,1766481.43,10526.82,8.26,9.246,167.81
2017-18,1456477.6,9853.14,6.501,7.829,147.82
2018-19,1388810.58,9348.39,5.991,6.919,148.56
2019-20,1122746.56,8240.28,6.145,6.901,136.25
2020-21,1472561.08,9187.55,4.586,6.003,160.28
2021-22,1971478.18,11972.9,4.61,6.48,164.66
2022-23,2411090.49,15238.47,5.423,6.897,158.22
2023-24 (April-December),1240046.09,10901.72,5.291,7.197,113.75
Total,35802252.36000001,153113.37,0.0,0.0,0.0
