Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,30289.58,41.61,2.879,5.492,727.94
1988-89,34067.85,43.87,3.756,5.475,776.56
1990-91,66696.77,78.27,6.8,8.494,852.14
1991-92,42841.81,88.8,1.883,4.927,482.45
1992-93,46634.67,123.7,3.207,6.086,377.0
1993-94,98916.09,214.71,5.262,7.696,460.7
1994-95,84889.9,191.34,4.188,6.57,443.66
1995-96,109299.43,275.84,1.46,3.503,396.24
1996-97,109591.0,291.04,1.795,3.8,376.55
1997-98,137349.82,416.04,3.462,5.78,330.14
1998-99,83759.05,327.4,1.395,3.406,255.83
1999-00,102726.91,384.11,3.025,5.275,267.44
2000-01,174616.84,533.2,3.699,5.854,327.49
2001-02,118456.21,403.28,1.583,4.008,293.73
2002-03,127633.78,442.09,1.109,3.259,288.71
2003-04,156407.81,517.03,1.318,3.674,302.51
2004-05,192489.76,629.1,1.621,3.727,305.98
2005-06,186489.17,651.83,1.819,3.516,286.1
2006-07,209665.21,798.35,2.008,3.791,262.62
2007-08,206508.85,893.41,1.354,3.037,231.15
2008-09,185046.27,1052.23,1.443,3.002,175.86
2009-10,162348.68,891.19,1.471,2.546,182.17
2010-11,203336.7,1077.71,1.788,2.556,188.67
2011-12,292838.38,1660.26,1.502,2.008,176.38
2012-13,346358.03,2000.89,1.162,1.701,173.1
2013-14,294214.9,2247.65,0.981,1.642,130.9
2014-15,287601.65,2287.87,1.06,1.742,125.71
2015-16,345414.12,2474.71,1.687,2.302,139.58
2016-17,327606.56,2397.66,1.532,2.106,136.64
2017-18,360605.9,2811.43,1.61,2.234,128.26
2018-19,307943.85,2641.73,1.328,1.955,116.57
2019-20,295102.45,2530.76,1.615,2.12,116.61
2020-21,362793.68,3188.38,1.13,2.083,113.79
2021-22,330527.01,3135.4,0.773,1.697,105.42
2022-23,335931.4,3563.06,0.756,1.613,94.28
2023-24 (April-December),317983.14,3678.28,1.357,2.428,86.45
Total,7074983.23,44984.229999999996,0.0,0.0,0.0
