Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,44976.82,77.86,4.275,10.276,577.66
1988-89,25320.56,47.54,2.792,5.933,532.62
1990-91,55133.21,72.43,5.621,7.861,761.19
1991-92,41456.65,76.03,1.822,4.218,545.27
1992-93,41660.86,102.56,2.865,5.046,406.21
1993-94,65266.65,159.85,3.472,5.729,408.3
1994-95,60977.77,169.54,3.009,5.822,359.67
1995-96,118912.72,322.96,1.588,4.101,368.2
1996-97,273524.51,678.82,4.481,8.864,402.94
1997-98,135074.39,476.09,3.405,6.614,283.72
1998-99,87309.51,505.57,1.454,5.26,172.7
1999-00,112738.92,599.37,3.32,8.231,188.1
2000-01,156316.81,692.8,3.311,7.606,225.63
2001-02,155296.44,596.58,2.075,5.929,260.31
2002-03,254975.02,778.12,2.216,5.736,327.68
2003-04,222951.34,821.5,1.878,5.838,271.4
2004-05,201334.57,823.26,1.695,4.877,244.56
2005-06,281797.44,1248.02,2.749,6.732,225.8
2006-07,292735.33,1329.36,2.804,6.312,220.21
2007-08,317445.77,1395.42,2.082,4.744,227.49
2008-09,338696.15,2101.83,2.642,5.996,161.14
2009-10,322177.12,1874.85,2.92,5.357,171.84
2010-11,478410.6,3496.16,4.207,8.291,136.84
2011-12,787347.33,14614.06,4.038,17.674,53.88
2012-13,606401.66,20246.31,2.035,17.209,29.95
2013-14,687673.78,12102.81,2.292,8.839,56.82
2014-15,762594.53,10913.63,2.81,8.309,69.88
2015-16,576873.01,6170.38,2.817,5.741,93.49
2016-17,635285.93,7276.04,2.97,6.39,87.31
2017-18,726581.02,8282.21,3.243,6.581,87.73
2018-19,704414.33,8521.92,3.038,6.307,82.66
2019-20,649279.14,7585.26,3.554,6.353,85.6
2020-21,711027.64,8303.47,2.214,5.425,85.63
2021-22,694157.49,9328.77,1.623,5.049,74.41
2022-23,775352.55,11650.01,1.744,5.273,66.55
2023-24 (April-December),616905.17,9257.24,2.632,6.111,66.64
Total,13018382.740000002,152698.62999999998,0.0,0.0,0.0
