Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
VIETNAM SOC REP,666659.71,13537.36,3.256,12.595,49.25
SAUDI ARAB,1457982.32,9160.54,7.121,8.523,159.16
U ARAB EMTS,1654093.81,8989.35,8.079,8.364,184.01
U S A,576873.01,6170.38,2.817,5.741,93.49
MALAYSIA,667557.58,4685.36,3.26,4.359,142.48
IRAN,822903.74,4372.52,4.019,4.068,188.2
BANGLADESH PR,1496130.63,3815.38,7.307,3.55,392.13
NEPAL,1514149.44,3449.65,7.395,3.209,438.93
IRAQ,535557.44,3327.11,2.616,3.095,160.97
EGYPT A RP,203170.09,2705.99,0.992,2.518,75.08
KUWAIT,343781.35,2575.38,1.679,2.396,133.49
U K,345414.12,2474.71,1.687,2.302,139.58
OMAN,629517.14,1805.32,3.075,1.68,348.7
INDONESIA,318575.38,1783.67,1.556,1.659,178.61
NETHERLAND,194288.46,1777.93,0.949,1.654,109.28
SENEGAL,926754.5,1725.92,4.526,1.606,536.96
PHILIPPINES,179166.43,1543.08,0.875,1.436,116.11
BENIN,636344.2,1512.24,3.108,1.407,420.8
PAKISTAN IR,337424.04,1462.32,1.648,1.361,230.75
THAILAND,131673.06,1459.92,0.643,1.358,90.19
YEMEN REPUBLC,290331.46,1277.54,1.418,1.189,227.26
SRI LANKA DSR,396158.15,1268.96,1.935,1.181,312.19
SINGAPORE,250605.27,1259.72,1.224,1.172,198.94
ALGERIA,133922.94,1192.5,0.654,1.109,112.3
QATAR,188410.17,1058.71,0.92,0.985,177.96
COTE D IVOIRE,457879.14,1048.94,2.236,0.976,436.52
RUSSIA,160242.08,960.36,0.783,0.894,166.86
GUINEA,407191.49,933.25,1.989,0.868,436.32
GERMANY,93013.27,895.66,0.454,0.833,103.85
CANADA,101009.12,861.35,0.493,0.801,117.27
SOUTH AFRICA,301311.66,843.19,1.472,0.784,357.35
SOMALIA,343529.63,811.57,1.678,0.755,423.29
TURKEY,249221.59,801.33,1.217,0.746,311.01
AUSTRALIA,82024.15,720.45,0.401,0.67,113.85
CHINA P RP,83455.12,664.08,0.408,0.618,125.67
JORDAN,79673.4,635.33,0.389,0.591,125.4
NIGERIA,153797.08,615.35,0.751,0.573,249.93
BAHARAIN IS,127238.06,584.62,0.621,0.544,217.64
ANGOLA,107520.62,563.21,0.525,0.524,190.91
LIBERIA,278631.89,543.11,1.361,0.505,513.03
BELGIUM,84527.53,497.46,0.413,0.463,169.92
HONG KONG,40007.61,420.86,0.195,0.392,95.06
JAPAN,36472.1,417.87,0.178,0.389,87.28
FRANCE,48981.92,405.47,0.239,0.377,120.8
MAURITIUS,70552.36,388.04,0.345,0.361,181.82
GHANA,88749.71,367.49,0.433,0.342,241.5
ITALY,66467.34,359.67,0.325,0.335,184.8
DJIBOUTI,152553.31,353.05,0.745,0.328,432.1
MALDIVES,166681.38,331.56,0.814,0.308,502.72
KENYA,102618.95,330.66,0.501,0.308,310.35
CAMEROON,103699.04,296.15,0.506,0.276,350.16
BHUTAN,47177.82,277.17,0.23,0.258,170.21
ISRAEL,42631.7,270.38,0.208,0.252,157.67
CONGO P REP,27242.05,263.17,0.133,0.245,103.52
KOREA RP,36669.03,262.49,0.179,0.244,139.7
