Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
U ARAB EMTS,1240046.09,10901.72,5.291,7.197,113.75
VIETNAM SOC REP,1789427.93,10498.1,7.635,6.93,170.45
SAUDI ARAB,1054182.65,10433.37,4.498,6.888,101.04
U S A,616905.17,9257.24,2.632,6.111,66.64
IRAQ,798174.89,7452.69,3.406,4.92,107.1
MALAYSIA,839947.14,6512.02,3.584,4.299,128.98
BANGLADESH PR,1903410.53,5986.72,8.122,3.952,317.94
IRAN,622101.57,5030.81,2.654,3.321,123.66
INDONESIA,498291.97,4832.9,2.126,3.19,103.1
NEPAL,1350387.98,4126.11,5.762,2.724,327.28
EGYPT A RP,272357.03,4016.31,1.162,2.651,67.81
U K,317983.14,3678.28,1.357,2.428,86.45
BENIN,1024998.87,3399.48,4.374,2.244,301.52
OMAN,662217.63,2794.59,2.826,1.845,236.96
NETHERLAND,206874.33,2632.48,0.883,1.738,78.59
YEMEN REPUBLC,294032.6,2401.79,1.255,1.586,122.42
CANADA,175568.18,2246.52,0.749,1.483,78.15
KUWAIT,263728.81,2242.64,1.125,1.481,117.6
SENEGAL,607962.74,2136.42,2.594,1.41,284.57
KENYA,568548.87,2100.69,2.426,1.387,270.65
PHILIPPINES,167282.36,2070.95,0.714,1.367,80.78
GUINEA,609775.31,2022.89,2.602,1.335,301.44
QATAR,342549.48,1984.01,1.462,1.31,172.66
RUSSIA,194193.77,1853.3,0.829,1.223,104.78
TOGO,551157.54,1843.4,2.352,1.217,298.99
AUSTRALIA,123408.26,1721.11,0.527,1.136,71.7
SINGAPORE,200450.69,1562.81,0.855,1.032,128.26
COTE D IVOIRE,437484.53,1474.52,1.867,0.973,296.7
SOMALIA,350862.06,1418.29,1.497,0.936,247.38
GERMANY,94146.98,1256.42,0.402,0.829,74.93
SRI LANKA DSR,424487.46,1206.71,1.811,0.797,351.77
THAILAND,120791.56,1199.71,0.515,0.792,100.68
SOUTH AFRICA,225973.52,1125.32,0.964,0.743,200.81
CHINA P RP,150447.47,1099.21,0.642,0.726,136.87
JORDAN,90670.02,1085.78,0.387,0.717,83.51
TURKEY,107092.4,961.11,0.457,0.634,111.43
DJIBOUTI,257924.85,952.1,1.101,0.629,270.9
ALGERIA,132725.57,925.04,0.566,0.611,143.48
MOZAMBIQUE,300201.67,917.2,1.281,0.605,327.3
TANZANIA REP,188385.01,875.37,0.804,0.578,215.21
BAHARAIN IS,97416.15,850.76,0.416,0.562,114.5
ANGOLA,191797.64,816.96,0.818,0.539,234.77
JAPAN,38708.1,807.44,0.165,0.533,47.94
LIBERIA,224442.42,778.01,0.958,0.514,288.48
BHUTAN,103909.79,738.85,0.443,0.488,140.64
GHANA,146438.75,692.86,0.625,0.457,211.35
SIERRA LEONE,190052.08,635.94,0.811,0.42,298.85
SPAIN,46389.38,622.6,0.198,0.411,74.51
CAMEROON,145561.26,604.57,0.621,0.399,240.77
NORWAY,81135.72,580.26,0.346,0.383,139.83
MALDIVES,204676.79,534.14,0.873,0.353,383.19
ISRAEL,53174.28,532.78,0.227,0.352,99.81
