Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BASMATI RICE,442167.0,865.39,21.816,29.717,510.95
NON BASMATI RICE,448446.0,340.4,22.126,11.689,1317.41
BUFFALO MEAT,116137.57,324.37,5.73,11.139,358.04
FRESH ONIONS,401281.52,204.62,19.799,7.026,1961.11
GUARGUM,67748.12,142.83,3.343,4.905,474.33
GROUNDNUTS,51123.0,101.32,2.522,3.479,504.57
PULSES,50718.0,90.44,2.502,3.106,560.79
PROCESSED VEGETABLES,28738.17,81.34,1.418,2.793,353.31
MANGO PULP,34460.03,80.71,1.7,2.772,426.96
CEREAL PREPARATIONS,22017.85,68.89,1.086,2.366,319.61
SHEEP/GOAT MEAT,10819.35,66.03,0.534,2.267,163.86
WALNUTS,6439.09,60.48,0.318,2.077,106.47
"PROCESSED FRUITS, JUICES & NUTS",19957.47,46.74,0.985,1.605,426.99
ALCOHOLIC BEVERAGES,12380.38,46.14,0.611,1.584,268.32
FRESH MANGOES,25414.36,45.03,1.254,1.546,564.39
WHEAT,86628.0,42.34,4.274,1.454,2046.01
FRESH GRAPES,16813.4,40.49,0.83,1.39,415.25
DAIRY PRODUCTS,8837.2,38.45,0.436,1.32,229.84
OTHER FRESH FRUITS,44290.33,35.94,2.185,1.234,1232.34
OTHER FRESH VEGETABLES,44866.06,31.68,2.214,1.088,1416.23
FLORICULTURE,0.0,30.84,0.0,1.059,0.0
FRUITS & VEGETABLES SEEDS,6288.01,24.77,0.31,0.851,253.86
MISCELLANEOUS PREPARATIONS,3783.65,22.5,0.187,0.773,168.16
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),10212.27,18.66,0.504,0.641,547.28
JAGGERY & CONFECTIONERY,12139.23,16.51,0.599,0.567,735.27
POULTRY PRODUCTS,27665.24,8.88,1.365,0.305,3115.45
MAIZE,18898.0,8.3,0.932,0.285,2276.87
ANIMAL CASINGS,334.97,7.71,0.017,0.265,43.45
COCOA PRODUCTS,813.69,7.15,0.04,0.246,113.8
OTHERS (BETEL LEAVES & NUTS),823.0,6.0,0.041,0.206,137.17
MILLED PRODUCTS,6058.0,4.15,0.299,0.143,1459.76
NATURAL HONEY,119.86,1.67,0.006,0.057,71.77
PROCESSED MEAT,192.92,1.28,0.01,0.044,150.72
OTHER CEREALS,202.0,0.09,0.01,0.003,2244.44
Total,2026813.74,2912.14,100.0,100.0,695.99
