State Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Gujarat,8468681.71,40281.04,26.374,26.319,210.24
Maharashtra,4839959.91,28183.15,15.073,18.414,171.73
Uttar Pradesh,1763534.83,17729.9,5.492,11.584,99.47
Andhra Pradesh,5288526.69,13781.79,16.47,9.005,383.73
West Bengal,5587061.11,12969.15,17.4,8.474,430.8
HARYANA,1510910.97,11914.47,4.705,7.785,126.81
Tamil Nadu,1617311.32,9323.31,5.037,6.092,173.47
PUNJAB,437824.72,3553.23,1.364,2.322,123.22
KERALA,263313.06,3444.58,0.82,2.251,76.44
Karnataka,282158.28,3341.24,0.879,2.183,84.45
Bihar,1314731.11,2873.43,4.094,1.877,457.55
Telangana,127231.66,1504.4,0.396,0.983,84.57
Madhya Pradesh,183082.71,1293.27,0.57,0.845,141.57
Delhi,70992.63,1190.98,0.221,0.778,59.61
Rajasthan,95908.52,809.32,0.299,0.529,118.51
Odisha,168500.55,444.36,0.525,0.29,379.2
Chhattisgarh,39657.56,109.13,0.124,0.071,363.4
Goa,6717.11,99.06,0.021,0.065,67.81
Uttarakhand,18686.31,96.72,0.058,0.063,193.2
Assam,18031.37,75.88,0.056,0.05,237.63
Sikkim,6273.72,28.47,0.02,0.019,220.36
Himachal Pradesh,430.2,2.25,0.001,0.001,191.2
PONDICHERRY,100.22,0.59,0.0,0.0,169.86
Tripura,131.09,0.15,0.0,0.0,873.93
Meghalaya,16.0,0.02,0.0,0.0,800.0
Jammu & Kashmir,0.3,0.01,0.0,0.0,30.0
Total,32109773.66,153049.9,100.0,100.0,209.8
