Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,173058.82,765.02,1.35,2.182,226.21
2009-10,170409.98,871.22,1.545,2.489,195.6
2010-11,168082.71,805.77,1.478,1.911,208.6
2011-12,172698.27,1049.38,0.886,1.269,164.57
2012-13,218452.76,1595.65,0.733,1.356,136.91
2013-14,216724.25,2426.02,0.722,1.772,89.33
2014-15,221430.69,2623.69,0.816,1.998,84.4
2015-16,275764.33,3034.39,1.347,2.823,90.88
2016-17,263622.79,3110.85,1.233,2.732,84.74
2017-18,277534.18,3392.11,1.239,2.695,81.82
2018-19,274252.65,3725.14,1.183,2.757,73.62
2019-20,268310.59,3489.54,1.468,2.923,76.89
2020-21,155357.84,2616.81,0.484,1.71,59.37
2021-22,187515.68,3212.7,0.438,1.739,58.37
2022-23,197318.6,3493.67,0.444,1.581,56.48
2023-24 (April-December),163709.93,3271.72,0.699,2.16,50.04
Total,3404244.0700000003,39483.68,0.0,0.0,0.0
