Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,1392209.17,7273.35,10.858,20.748,191.41
2009-10,1328671.94,6105.81,12.043,17.446,217.61
2010-11,1937852.42,11281.75,17.041,26.753,171.77
2011-12,3547624.74,30138.69,18.195,36.449,117.71
2012-13,5019945.75,44369.83,16.843,37.715,113.14
2013-14,6259756.95,49222.96,20.865,35.95,127.17
2014-15,6169736.12,47669.54,22.738,36.294,129.43
2015-16,4868658.87,36178.97,23.779,33.66,134.57
2016-17,5257485.92,35873.77,24.583,31.507,146.56
2017-18,5983187.21,43282.66,26.705,34.39,138.24
2018-19,5603272.63,44112.4,24.17,32.649,127.02
2019-20,4928645.42,39820.1,26.975,33.35,123.77
2020-21,8214785.9,51515.94,25.583,33.66,159.46
2021-22,7933456.21,52840.54,18.552,28.598,150.14
2022-23,7945462.07,62684.04,17.87,28.372,126.75
2023-24 (April-December),5893825.35,53489.5,25.148,35.312,110.19
Total,82284576.67,615859.85,0.0,0.0,0.0
