Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,1140154.72,1246.47,8.892,3.556,914.71
2009-10,1180635.97,1391.04,10.701,3.975,848.74
2010-11,1182247.76,1876.33,10.397,4.45,630.09
2011-12,1238914.79,1859.29,6.354,2.249,666.34
2012-13,1843719.29,2816.8,6.186,2.394,654.54
2013-14,2656202.9,4932.05,8.854,3.602,538.56
2014-15,2398888.78,4961.2,8.841,3.777,483.53
2015-16,1833018.32,4137.45,8.953,3.849,443.03
2016-17,1493947.48,3238.92,6.985,2.845,461.25
2017-18,2188625.3,5469.38,9.769,4.346,400.16
2018-19,1584718.26,4000.88,6.836,2.961,396.09
2019-20,991808.51,2821.6,5.428,2.363,351.51
2020-21,3494499.69,7740.57,10.883,5.058,451.45
2021-22,6053446.29,14525.03,14.156,7.861,416.76
2022-23,4396107.82,12114.6,9.887,5.483,362.88
2023-24 (April-December),1614923.97,4859.5,6.891,3.208,332.32
Total,35291859.85,77991.11,0.0,0.0,0.0
