Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,10109914.91,25706.29,78.85,73.328,393.29
2009-10,8348068.6,26555.76,75.663,75.877,314.36
2010-11,8074236.81,28097.07,71.005,66.629,287.37
2011-12,14502623.13,49475.32,74.381,59.834,293.13
2012-13,22712949.58,68624.53,76.206,58.331,330.97
2013-14,20851388.93,79985.82,69.501,58.417,260.69
2014-15,18297232.95,75593.93,67.432,57.555,242.05
2015-16,13439767.49,63439.01,65.64,59.022,211.85
2016-17,14297109.46,70628.55,66.85,62.032,202.43
2017-18,13898678.03,72675.87,62.034,57.744,191.24
2018-19,15666933.88,82241.05,67.579,60.869,190.5
2019-20,11995175.54,72122.78,65.651,60.404,166.32
2020-21,20020214.27,89426.98,62.349,58.43,223.87
2021-22,28384085.42,111870.44,66.374,60.546,253.72
2022-23,31365683.11,138426.58,70.543,62.653,226.59
2023-24 (April-December),15582754.14,87531.72,66.489,57.785,178.02
Total,267546816.25,1142401.7,0.0,0.0,0.0
