Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,0.0,0.0,0.0,0.0,0.0
1988-89,0.0,0.0,0.0,0.0,0.0
1990-91,0.0,0.0,0.0,0.0,0.0
1991-92,0.0,0.0,0.0,0.0,0.0
1992-93,0.0,0.0,0.0,0.0,0.0
1993-94,0.0,0.0,0.0,0.0,0.0
1994-95,0.0,0.0,0.0,0.0,0.0
1995-96,0.0,0.0,0.0,0.0,0.0
1996-97,0.0,0.0,0.0,0.0,0.0
1997-98,0.0,0.0,0.0,0.0,0.0
1998-99,0.0,0.0,0.0,0.0,0.0
1999-00,0.0,0.0,0.0,0.0,0.0
2000-01,0.0,0.0,0.0,0.0,0.0
2001-02,0.0,0.0,0.0,0.0,0.0
2002-03,0.0,0.0,0.0,0.0,0.0
2003-04,0.0,0.0,0.0,0.0,0.0
2004-05,0.0,0.0,0.0,0.0,0.0
2005-06,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0.0,0.0,0.0,0.0
2007-08,0.0,0.0,0.0,0.0,0.0
2008-09,1025.17,37.61,0.008,0.107,27.26
2009-10,1159.56,38.23,0.011,0.109,30.33
2010-11,1235.0,39.55,0.011,0.094,31.23
2011-12,1454.31,53.03,0.007,0.064,27.42
2012-13,1663.83,90.16,0.006,0.077,18.45
2013-14,2025.32,131.64,0.007,0.096,15.39
2014-15,2125.02,161.19,0.008,0.123,13.18
2015-16,1934.12,149.83,0.009,0.139,12.91
2016-17,1703.32,87.82,0.008,0.077,19.4
2017-18,2081.99,83.72,0.009,0.067,24.87
2018-19,2196.83,103.06,0.009,0.076,21.32
2019-20,2483.48,82.35,0.014,0.069,30.16
2020-21,2278.28,94.97,0.007,0.062,23.99
2021-22,1464.97,89.82,0.003,0.049,16.31
2022-23,2219.94,266.88,0.005,0.121,8.32
2023-24 (April-December),1564.17,141.64,0.007,0.094,11.04
Total,28615.309999999998,1651.5,0.0,0.0,0.0
