Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,355277.0,317.2,33.765,41.864,1120.04
1988-89,314088.0,311.93,34.631,38.929,1006.92
1990-91,217695.0,276.4,22.194,29.996,787.61
1991-92,235590.0,435.12,10.356,24.141,541.44
1992-93,286170.0,699.84,19.681,34.433,408.91
1993-94,527233.0,1061.27,28.046,38.039,496.79
1994-95,442167.0,865.39,21.816,29.717,510.95
1995-96,4540699.0,3717.41,60.637,47.207,1221.47
1996-97,1988847.21,1924.72,32.581,25.133,1033.32
1997-98,1796279.55,1685.97,45.279,23.421,1065.43
1998-99,4365841.58,4403.85,72.73,45.82,991.37
1999-00,638379.78,1780.34,18.8,24.448,358.57
2000-01,851717.7,2165.95,18.04,23.779,393.23
2001-02,666713.64,1841.78,8.909,18.304,361.99
2002-03,4337062.99,3826.18,37.696,28.207,1133.52
2003-04,2640438.93,2174.8,22.246,15.455,1214.11
2004-05,3615109.55,3945.02,30.439,23.371,916.37
2005-06,2921601.91,3178.17,28.5,17.143,919.27
2006-07,3702191.99,4243.08,35.461,20.146,872.52
2007-08,5272545.81,7396.83,34.576,25.147,712.81
2008-09,1556411.06,9477.03,12.139,27.034,164.23
2009-10,2013546.5,10874.71,18.25,31.072,185.16
2010-11,2370658.39,11354.63,20.847,26.926,208.78
2011-12,3107280.36,15084.43,15.937,18.243,205.99
2012-13,3459898.93,19409.39,11.609,16.498,178.26
2013-14,3757271.42,29299.96,12.524,21.399,128.23
2014-15,3702260.07,27597.89,13.644,21.012,134.15
2015-16,4045822.29,22718.6,19.76,21.137,178.08
2016-17,3985195.6,21512.91,18.634,18.895,185.25
2017-18,4056758.62,26870.17,18.107,21.35,150.98
2018-19,4414560.81,32804.13,19.042,24.279,134.57
2019-20,4454656.69,31025.88,24.381,25.985,143.58
2020-21,13095130.21,35476.61,40.782,23.18,369.12
2021-22,17262235.08,45652.35,40.366,24.708,378.12
2022-23,17786092.81,51088.72,40.002,23.123,348.14
2023-24 (April-December),3542825.42,32845.19,15.117,21.683,107.86
Total,132326253.9,469343.8499999999,0.0,0.0,0.0
