Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,45166.62,58.62,4.293,7.737,770.5
1988-89,51204.02,72.97,5.646,9.107,701.71
1990-91,63477.95,106.85,6.472,11.596,594.08
1991-92,81331.27,188.96,3.575,10.484,430.42
1992-93,81614.01,214.42,5.613,10.55,380.63
1993-94,101665.58,280.75,5.408,10.063,362.12
1994-95,116137.57,324.37,5.73,11.139,358.04
1995-96,159703.91,555.0,2.133,7.048,287.75
1996-97,157573.99,619.04,2.581,8.083,254.55
1997-98,176328.68,729.3,4.445,10.131,241.78
1998-99,153956.15,691.29,2.565,7.193,222.71
1999-00,167291.41,706.43,4.927,9.701,236.81
2000-01,288002.84,1374.93,6.1,15.095,209.47
2001-02,243355.58,1144.42,3.252,11.374,212.65
2002-03,297727.7,1304.82,2.588,9.619,228.18
2003-04,343817.08,1536.77,2.897,10.921,223.73
2004-05,337777.65,1774.52,2.844,10.513,190.35
2005-06,461027.87,2638.11,4.497,14.23,174.76
2006-07,494536.43,3214.02,4.737,15.26,153.87
2007-08,484494.55,3560.61,3.177,12.105,136.07
2008-09,463713.69,4849.28,3.617,13.833,95.63
2009-10,492672.2,5459.4,4.465,15.599,90.24
2010-11,726718.05,8614.04,6.391,20.427,84.36
2011-12,987714.46,13757.34,5.066,16.638,71.8
2012-13,1108662.35,17420.24,3.72,14.807,63.64
2013-14,1451941.75,26472.35,4.84,19.334,54.85
2014-15,1476309.78,29289.16,5.441,22.3,50.4
2015-16,1314533.59,26688.08,6.42,24.83,49.26
2016-17,1323576.11,26161.49,6.189,22.977,50.59
2017-18,1350563.49,26033.83,6.028,20.685,51.88
2018-19,1236638.4,25168.31,5.334,18.628,49.13
2019-20,1152547.31,22668.47,6.308,18.985,50.84
2020-21,1085619.93,23460.38,3.381,15.329,46.27
2021-22,1175193.02,24613.24,2.748,13.321,47.75
2022-23,1175869.13,25648.1,2.645,11.609,45.85
2023-24 (April-December),971974.62,22832.86,4.147,15.073,42.57
Total,21800438.74,350232.76999999996,0.0,0.0,0.0
