Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,0.0,0.0,0.0,0.0,0.0
1988-89,0.0,0.0,0.0,0.0,0.0
1990-91,0.0,0.0,0.0,0.0,0.0
1991-92,0.0,0.0,0.0,0.0,0.0
1992-93,0.0,0.0,0.0,0.0,0.0
1993-94,0.0,0.0,0.0,0.0,0.0
1994-95,0.0,0.0,0.0,0.0,0.0
1995-96,0.0,0.0,0.0,0.0,0.0
1996-97,0.0,0.0,0.0,0.0,0.0
1997-98,0.0,0.0,0.0,0.0,0.0
1998-99,0.0,0.0,0.0,0.0,0.0
1999-00,0.0,0.0,0.0,0.0,0.0
2000-01,0.0,0.0,0.0,0.0,0.0
2001-02,0.0,0.0,0.0,0.0,0.0
2002-03,0.0,0.0,0.0,0.0,0.0
2003-04,0.0,0.0,0.0,0.0,0.0
2004-05,0.0,0.0,0.0,0.0,0.0
2005-06,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0.0,0.0,0.0,0.0
2007-08,0.0,0.0,0.0,0.0,0.0
2008-09,8387.53,321.69,0.065,0.918,26.07
2009-10,8300.73,247.65,0.075,0.708,33.52
2010-11,10583.01,367.92,0.093,0.872,28.76
2011-12,838.66,37.2,0.004,0.045,22.54
2012-13,13650.78,556.26,0.046,0.473,24.54
2013-14,11461.71,636.93,0.038,0.465,18.0
2014-15,8168.05,428.53,0.03,0.326,19.06
2015-16,5897.99,215.94,0.029,0.201,27.31
2016-17,6129.89,237.66,0.029,0.209,25.79
2017-18,2670.47,104.68,0.012,0.083,25.51
2018-19,5638.75,220.53,0.024,0.163,25.57
2019-20,164.39,7.55,0.001,0.006,21.77
2020-21,3401.65,180.41,0.011,0.118,18.86
2021-22,8768.48,592.78,0.021,0.321,14.79
2022-23,8843.53,816.32,0.02,0.369,10.83
2023-24 (April-December),1556.81,121.52,0.007,0.08,12.81
Total,104462.43,5093.57,0.0,0.0,0.0
