Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,0.0,0.0,0.0,0.0,0.0
1988-89,0.0,0.0,0.0,0.0,0.0
1990-91,0.0,0.0,0.0,0.0,0.0
1991-92,0.0,0.0,0.0,0.0,0.0
1992-93,0.0,0.0,0.0,0.0,0.0
1993-94,0.0,0.0,0.0,0.0,0.0
1994-95,0.0,0.0,0.0,0.0,0.0
1995-96,0.0,0.0,0.0,0.0,0.0
1996-97,0.0,0.0,0.0,0.0,0.0
1997-98,0.0,0.0,0.0,0.0,0.0
1998-99,0.0,0.0,0.0,0.0,0.0
1999-00,0.0,0.0,0.0,0.0,0.0
2000-01,0.0,0.0,0.0,0.0,0.0
2001-02,0.0,0.0,0.0,0.0,0.0
2002-03,0.0,0.0,0.0,0.0,0.0
2003-04,0.0,0.0,0.0,0.0,0.0
2004-05,0.0,0.0,0.0,0.0,0.0
2005-06,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0.0,0.0,0.0,0.0
2007-08,0.0,0.0,0.0,0.0,0.0
2008-09,0.0,0.0,0.0,0.0,0.0
2009-10,0.0,0.0,0.0,0.0,0.0
2010-11,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,0.0
2012-13,0.0,0.0,0.0,0.0,0.0
2013-14,0.0,0.0,0.0,0.0,0.0
2014-15,0.0,0.0,0.0,0.0,0.0
2015-16,0.0,0.0,0.0,0.0,0.0
2016-17,91738.82,5278.61,0.429,4.636,17.38
2017-18,90017.42,5945.28,0.402,4.724,15.14
2018-19,78177.32,4579.17,0.337,3.389,17.07
2019-20,84327.61,4018.35,0.462,3.365,20.99
2020-21,70087.59,3112.22,0.218,2.033,22.52
2021-22,75422.6,3377.4,0.176,1.828,22.33
2022-23,59575.83,2868.72,0.134,1.298,20.77
2023-24 (April-December),47156.03,2063.44,0.201,1.362,22.85
Total,596503.22,31243.190000000002,0.0,0.0,0.0
