Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,0.0,0.0,0.0,0.0,0.0
1988-89,0.0,0.0,0.0,0.0,0.0
1990-91,0.0,0.0,0.0,0.0,0.0
1991-92,0.0,0.0,0.0,0.0,0.0
1992-93,0.0,0.0,0.0,0.0,0.0
1993-94,0.0,0.0,0.0,0.0,0.0
1994-95,0.0,0.0,0.0,0.0,0.0
1995-96,0.0,0.0,0.0,0.0,0.0
1996-97,0.0,0.0,0.0,0.0,0.0
1997-98,0.0,0.0,0.0,0.0,0.0
1998-99,0.0,0.0,0.0,0.0,0.0
1999-00,0.0,0.0,0.0,0.0,0.0
2000-01,0.0,0.0,0.0,0.0,0.0
2001-02,0.0,0.0,0.0,0.0,0.0
2002-03,0.0,0.0,0.0,0.0,0.0
2003-04,0.0,0.0,0.0,0.0,0.0
2004-05,0.0,0.0,0.0,0.0,0.0
2005-06,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0.0,0.0,0.0,0.0
2007-08,0.0,0.0,0.0,0.0,0.0
2008-09,0.0,0.0,0.0,0.0,0.0
2009-10,0.0,0.0,0.0,0.0,0.0
2010-11,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,0.0
2012-13,0.0,0.0,0.0,0.0,0.0
2013-14,0.0,0.0,0.0,0.0,0.0
2014-15,0.0,0.0,0.0,0.0,0.0
2015-16,0.0,0.0,0.0,0.0,0.0
2016-17,2395.2,6.58,0.011,0.006,364.01
2017-18,2794.95,7.63,0.012,0.006,366.31
2018-19,1721.48,6.12,0.007,0.005,281.29
2019-20,721.07,2.69,0.004,0.002,268.06
2020-21,429.82,1.45,0.001,0.001,296.43
2021-22,1368.06,6.92,0.003,0.004,197.7
2022-23,10641.81,56.39,0.024,0.026,188.72
2023-24 (April-December),3162.68,14.27,0.013,0.009,221.63
Total,23235.07,102.05,0.0,0.0,0.0
