Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,9740.74,15.6,0.926,2.059,624.41
1988-89,9731.29,17.32,1.073,2.162,561.85
1990-91,9194.89,21.61,0.937,2.345,425.49
1991-92,17756.46,38.37,0.781,2.129,462.77
1992-93,47069.64,54.47,3.237,2.68,864.14
1993-94,33130.17,63.38,1.762,2.272,522.72
1994-95,22017.85,68.89,1.086,2.366,319.61
1995-96,48348.13,104.47,0.646,1.327,462.79
1996-97,27150.26,108.86,0.445,1.421,249.41
1997-98,22703.91,115.95,0.572,1.611,195.81
1998-99,19629.61,111.68,0.327,1.162,175.77
1999-00,24257.1,133.99,0.714,1.84,181.04
2000-01,30194.09,177.35,0.64,1.947,170.25
2001-02,38000.61,224.35,0.508,2.23,169.38
2002-03,51614.36,268.13,0.449,1.977,192.5
2003-04,46699.19,242.39,0.393,1.722,192.66
2004-05,52743.57,293.25,0.444,1.737,179.86
2005-06,113453.36,543.6,1.107,2.932,208.71
2006-07,112650.35,601.54,1.079,2.856,187.27
2007-08,138953.04,681.28,0.911,2.316,203.96
2008-09,208694.26,1103.62,1.628,3.148,189.1
2009-10,172411.12,1028.37,1.563,2.938,167.65
2010-11,226485.28,1261.79,1.992,2.992,179.5
2011-12,301176.67,1887.16,1.545,2.282,159.59
2012-13,293124.3,2240.76,0.983,1.905,130.81
2013-14,321468.07,2855.0,1.072,2.085,112.6
2014-15,306328.81,3038.76,1.129,2.314,100.81
2015-16,316533.44,3358.11,1.546,3.124,94.26
2016-17,339923.14,3565.55,1.589,3.132,95.34
2017-18,353237.23,3559.87,1.577,2.828,99.23
2018-19,347751.56,3859.57,1.5,2.857,90.1
2019-20,341723.46,3871.69,1.87,3.243,88.26
2020-21,403267.68,4705.81,1.256,3.075,85.7
2021-22,415544.58,4862.19,0.972,2.631,85.46
2022-23,480429.35,6051.51,1.081,2.739,79.39
2023-24 (April-December),395957.08,5146.24,1.689,3.397,76.94
Total,6099094.649999999,56282.479999999996,0.0,0.0,0.0
