Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,0.0,1.74,0.0,0.23,0.0
1988-89,0.0,4.67,0.0,0.583,0.0
1990-91,0.0,7.87,0.0,0.854,0.0
1991-92,0.0,14.8,0.0,0.821,0.0
1992-93,0.0,14.91,0.0,0.734,0.0
1993-94,0.0,18.84,0.0,0.675,0.0
1994-95,0.0,30.84,0.0,1.059,0.0
1995-96,0.0,60.14,0.0,0.764,0.0
1996-97,0.0,63.4,0.0,0.828,0.0
1997-98,0.0,81.21,0.0,1.128,0.0
1998-99,18721.06,96.61,0.312,1.005,193.78
1999-00,84342.9,105.16,2.484,1.444,802.04
2000-01,25060.32,123.1,0.531,1.351,203.58
2001-02,18803.69,115.33,0.251,1.146,163.04
2002-03,26682.1,165.75,0.232,1.222,160.98
2003-04,30659.53,249.55,0.258,1.773,122.86
2004-05,27769.06,221.11,0.234,1.31,125.59
2005-06,35457.45,301.45,0.346,1.626,117.62
2006-07,42545.28,652.7,0.408,3.099,65.18
2007-08,36234.11,340.13,0.238,1.156,106.53
2008-09,30789.19,368.65,0.24,1.052,83.52
2009-10,26810.62,294.46,0.243,0.841,91.05
2010-11,28906.79,296.04,0.254,0.702,97.64
2011-12,30926.02,365.32,0.159,0.442,84.65
2012-13,27121.86,423.45,0.091,0.36,64.05
2013-14,22485.21,455.91,0.075,0.333,49.32
2014-15,22947.27,460.77,0.085,0.351,49.8
2015-16,22691.64,483.41,0.111,0.45,46.94
2016-17,22020.33,546.71,0.103,0.48,40.28
2017-18,20703.46,507.31,0.092,0.403,40.81
2018-19,19726.56,571.41,0.085,0.423,34.52
2019-20,16949.39,541.61,0.093,0.454,31.29
2020-21,15695.29,575.98,0.049,0.376,27.25
2021-22,23597.22,771.41,0.055,0.417,30.59
2022-23,21024.41,707.81,0.047,0.32,29.7
2023-24 (April-December),14455.07,527.93,0.062,0.349,27.38
Total,713125.83,10567.489999999998,0.0,0.0,0.0
