Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,130391.59,40.61,12.392,5.36,3210.82
1988-89,214238.41,64.17,23.622,8.008,3338.61
1990-91,240042.21,90.84,24.472,9.858,2642.47
1991-92,370948.86,149.59,16.306,8.299,2479.77
1992-93,389830.0,172.96,26.811,8.51,2253.87
1993-94,357132.25,182.68,18.998,6.548,1954.96
1994-95,401281.52,204.62,19.799,7.026,1961.11
1995-96,350989.17,230.72,4.687,2.93,1521.28
1996-97,427011.77,265.21,6.995,3.463,1610.09
1997-98,333348.96,202.46,8.403,2.812,1646.49
1998-99,215693.61,176.05,3.593,1.832,1225.18
1999-00,260475.27,202.7,7.671,2.784,1285.03
2000-01,343253.69,276.22,7.271,3.033,1242.68
2001-02,441849.6,332.43,5.904,3.304,1329.15
2002-03,588449.74,361.62,5.115,2.666,1627.26
2003-04,859938.75,715.87,7.245,5.087,1201.25
2004-05,870216.85,644.12,7.327,3.816,1351.02
2005-06,960507.32,708.16,9.37,3.82,1356.34
2006-07,1378373.17,1163.31,13.202,5.523,1184.87
2007-08,1008568.68,1035.76,6.614,3.521,973.75
2008-09,1668630.12,1825.61,13.014,5.208,914.01
2009-10,1664922.39,2319.43,15.09,6.627,717.82
2010-11,1182324.2,1779.29,10.397,4.219,664.49
2011-12,1308475.94,1720.57,6.711,2.081,760.49
2012-13,1666872.6,1966.63,5.593,1.672,847.58
2013-14,1482498.58,3169.61,4.941,2.315,467.72
2014-15,1238102.6,2300.54,4.563,1.752,538.18
2015-16,1382959.54,3097.21,6.754,2.882,446.52
2016-17,2415739.06,3106.06,11.296,2.728,777.75
2017-18,1588985.72,3088.82,7.092,2.454,514.43
2018-19,2183766.42,3468.87,9.42,2.567,629.53
2019-20,1149896.84,2320.7,6.294,1.944,495.5
2020-21,1578016.58,2826.53,4.914,1.847,558.29
2021-22,1537496.85,3432.16,3.595,1.858,447.97
2022-23,2525258.35,4522.79,5.679,2.047,558.34
2023-24 (April-December),1691810.27,3792.07,7.219,2.503,446.14
Total,36408297.480000004,51956.990000000005,0.0,0.0,0.0
