Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,52920.64,99.0,5.029,13.066,534.55
1988-89,35422.12,73.87,3.906,9.219,479.52
1990-91,49751.11,57.93,5.072,6.287,858.81
1991-92,61310.8,92.06,2.695,5.108,665.99
1992-93,62373.97,103.19,4.29,5.077,604.46
1993-94,74492.59,140.82,3.963,5.047,528.99
1994-95,67748.12,142.83,3.343,4.905,474.33
1995-96,83283.4,227.2,1.112,2.885,366.56
1996-97,95169.93,356.13,1.559,4.65,267.23
1997-98,102728.6,544.99,2.59,7.571,188.5
1998-99,91990.01,727.7,1.532,7.571,126.41
1999-00,113746.84,814.77,3.35,11.189,139.61
2000-01,129530.84,602.95,2.744,6.62,214.83
2001-02,117883.03,403.09,1.575,4.006,292.45
2002-03,111826.36,486.15,0.972,3.584,230.02
2003-04,120561.27,507.9,1.016,3.609,237.37
2004-05,131299.98,689.48,1.106,4.085,190.43
2005-06,186718.4,1049.23,1.821,5.66,177.96
2006-07,189304.36,1125.79,1.813,5.345,168.15
2007-08,211164.56,1125.74,1.385,3.827,187.58
2008-09,258567.56,1338.99,2.017,3.82,193.11
2009-10,218479.74,1133.31,1.98,3.238,192.78
2010-11,441607.7,2938.7,3.883,6.969,150.27
2011-12,707326.43,16523.87,3.628,19.984,42.81
2012-13,406311.81,21287.01,1.363,18.094,19.09
2013-14,601945.42,11734.52,2.006,8.57,51.3
2014-15,665177.71,9479.94,2.451,7.218,70.17
2015-16,325250.71,3233.87,1.589,3.009,100.58
2016-17,419948.19,3106.62,1.964,2.729,135.18
2017-18,494101.27,4169.56,2.205,3.313,118.5
2018-19,513211.88,4707.05,2.214,3.484,109.03
2019-20,381880.14,3261.6,2.09,2.732,117.08
2020-21,234871.29,1949.07,0.731,1.273,120.5
2021-22,321394.92,3334.77,0.752,1.805,96.38
2022-23,406513.53,4944.6,0.914,2.238,82.21
2023-24 (April-December),308627.63,3257.77,1.317,2.151,94.74
Total,8794442.860000001,105772.07,0.0,0.0,0.0
