Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,0.0,0.0,0.0,0.0,0.0
1988-89,0.0,0.0,0.0,0.0,0.0
1990-91,0.0,0.0,0.0,0.0,0.0
1991-92,0.0,0.0,0.0,0.0,0.0
1992-93,0.0,0.0,0.0,0.0,0.0
1993-94,0.0,0.0,0.0,0.0,0.0
1994-95,0.0,0.0,0.0,0.0,0.0
1995-96,0.0,0.0,0.0,0.0,0.0
1996-97,0.0,0.0,0.0,0.0,0.0
1997-98,0.0,0.0,0.0,0.0,0.0
1998-99,0.0,0.0,0.0,0.0,0.0
1999-00,0.0,0.0,0.0,0.0,0.0
2000-01,0.0,0.0,0.0,0.0,0.0
2001-02,0.0,0.0,0.0,0.0,0.0
2002-03,0.0,0.0,0.0,0.0,0.0
2003-04,2309.81,2.85,0.019,0.02,810.46
2004-05,6812.04,6.59,0.057,0.039,1033.69
2005-06,2881.28,2.64,0.028,0.014,1091.39
2006-07,2679.74,3.89,0.026,0.018,688.88
2007-08,4983.02,6.74,0.033,0.023,739.32
2008-09,9612.35,14.2,0.075,0.041,676.93
2009-10,21836.6,68.31,0.198,0.195,319.67
2010-11,3543.55,8.55,0.031,0.02,414.45
2011-12,5803.33,18.23,0.03,0.022,318.34
2012-13,16322.64,39.6,0.055,0.034,412.19
2013-14,216418.78,448.21,0.721,0.327,482.85
2014-15,257386.98,540.53,0.949,0.412,476.18
2015-16,188985.05,418.83,0.923,0.39,451.22
2016-17,166942.3,390.89,0.781,0.343,427.08
2017-18,156274.02,370.07,0.698,0.294,422.28
2018-19,219402.5,542.5,0.946,0.402,404.43
2019-20,129012.88,425.69,0.706,0.357,303.07
2020-21,146993.61,435.8,0.458,0.285,337.3
2021-22,158509.98,469.36,0.371,0.254,337.72
2022-23,169049.21,608.11,0.38,0.275,277.99
2023-24 (April-December),106745.44,423.29,0.455,0.279,252.18
Total,1992505.1099999999,5244.879999999999,0.0,0.0,0.0
