Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,33519.0,21.4,3.186,2.824,1566.31
1988-89,35473.9,19.52,3.911,2.436,1817.31
1990-91,21024.0,14.44,2.143,1.567,1455.96
1991-92,525790.0,320.07,23.113,17.758,1642.73
1992-93,276734.55,198.15,19.033,9.749,1396.59
1993-94,240454.0,225.44,12.791,8.08,1066.6
1994-95,448446.0,340.4,22.126,11.689,1317.41
1995-96,4540699.0,3717.41,60.637,47.207,1221.47
1996-97,1988847.21,1924.72,32.581,25.133,1033.32
1997-98,1796279.55,1685.97,45.279,23.421,1065.43
1998-99,4365841.58,4403.85,72.73,45.82,991.37
1999-00,1257747.51,1345.58,37.04,18.478,934.73
2000-01,682746.62,777.47,14.461,8.536,878.16
2001-02,1541485.14,1331.37,20.598,13.232,1157.82
2002-03,4337062.99,3826.18,37.696,28.207,1133.52
2003-04,2640438.93,2174.8,22.246,15.455,1214.11
2004-05,3615109.55,3945.02,30.439,23.371,916.37
2005-06,2921601.91,3178.17,28.5,17.143,919.27
2006-07,3702191.99,4243.08,35.461,20.146,872.52
2007-08,5272545.81,7396.83,34.576,25.147,712.81
2008-09,931848.79,1687.29,7.268,4.813,552.28
2009-10,139402.76,364.72,1.263,1.042,382.22
2010-11,100685.78,231.29,0.885,0.548,435.32
2011-12,3985294.86,8629.93,20.44,10.437,461.8
2012-13,6687990.85,14448.81,22.439,12.282,462.87
2013-14,7133183.37,17749.96,23.776,12.964,401.87
2014-15,8274046.02,20428.54,30.493,15.554,405.02
2015-16,6464569.77,15483.39,31.573,14.405,417.52
2016-17,6770804.28,16929.88,31.659,14.869,399.93
2017-18,8648488.58,22967.82,38.601,18.249,376.55
2018-19,7599595.93,21185.07,32.781,15.68,358.72
2019-20,5040707.58,14364.66,27.588,12.031,350.91
2020-21,13095130.21,35476.61,40.782,23.18,369.12
2021-22,17262235.08,45652.35,40.366,24.708,378.12
2022-23,17786092.81,51088.72,40.002,23.123,348.14
2023-24 (April-December),8341415.79,27626.65,35.592,18.238,301.93
Total,158505531.7,355405.56000000006,0.0,0.0,0.0
