Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,54.0,0.02,0.005,0.003,2700.0
1988-89,16.0,0.02,0.002,0.002,800.0
1990-91,0.0,0.0,0.0,0.0,0.0
1991-92,20.0,0.01,0.001,0.001,2000.0
1992-93,0.0,0.0,0.0,0.0,0.0
1993-94,0.0,0.0,0.0,0.0,0.0
1994-95,202.0,0.09,0.01,0.003,2244.44
1995-96,154.0,0.19,0.002,0.002,810.53
1996-97,135.97,0.16,0.002,0.002,849.81
1997-98,0.0,0.0,0.0,0.0,0.0
1998-99,86.89,0.23,0.001,0.002,377.78
1999-00,27.2,0.19,0.001,0.003,143.16
2000-01,0.0,0.0,0.0,0.0,0.0
2001-02,9935.13,6.15,0.133,0.061,1615.47
2002-03,107.9,0.24,0.001,0.002,449.58
2003-04,11126.65,3.13,0.094,0.022,3554.84
2004-05,4956.11,7.87,0.042,0.047,629.75
2005-06,855.05,1.27,0.008,0.007,673.27
2006-07,1099.61,1.69,0.011,0.008,650.66
2007-08,347967.58,411.54,2.282,1.399,845.53
2008-09,176012.19,223.21,1.373,0.637,788.55
2009-10,51259.99,56.9,0.465,0.163,900.88
2010-11,10004.13,12.6,0.088,0.03,793.98
2011-12,45242.66,64.27,0.232,0.078,703.95
2012-13,268384.08,440.0,0.9,0.374,609.96
2013-14,441281.76,708.7,1.471,0.518,622.66
2014-15,430812.94,683.49,1.588,0.52,630.31
2015-16,80989.41,121.65,0.396,0.113,665.76
2016-17,1493.24,4.75,0.007,0.004,314.37
2017-18,1344.02,3.63,0.006,0.003,370.25
2018-19,5750.05,11.74,0.025,0.009,489.78
2019-20,2403.62,12.45,0.013,0.01,193.06
2020-21,2932.78,15.15,0.009,0.01,193.58
2021-22,3049.58,17.44,0.007,0.009,174.86
2022-23,3801.18,27.4,0.009,0.012,138.73
2023-24 (April-December),7855.86,37.42,0.034,0.025,209.94
Total,1909361.5800000003,2873.6000000000004,0.0,0.0,0.0
