Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,30173.18,15.29,2.868,2.018,1973.39
1988-89,44954.24,28.98,4.957,3.617,1551.22
1990-91,20987.51,11.18,2.14,1.213,1877.24
1991-92,40802.83,27.45,1.794,1.523,1486.44
1992-93,39022.12,27.88,2.684,1.372,1399.65
1993-94,38795.86,32.79,2.064,1.175,1183.16
1994-95,44290.33,35.94,2.185,1.234,1232.34
1995-96,56895.95,52.78,0.76,0.67,1077.98
1996-97,163714.37,61.26,2.682,0.8,2672.45
1997-98,63538.04,70.86,1.602,0.984,896.67
1998-99,44253.64,68.77,0.737,0.716,643.5
1999-00,72439.49,110.2,2.133,1.513,657.35
2000-01,80040.21,112.84,1.695,1.239,709.32
2001-02,109520.59,142.81,1.463,1.419,766.9
2002-03,88046.33,114.12,0.765,0.841,771.52
2003-04,134601.55,153.1,1.134,1.088,879.17
2004-05,131443.07,158.18,1.107,0.937,830.97
2005-06,170178.2,254.45,1.66,1.373,668.81
2006-07,174569.22,303.64,1.672,1.442,574.92
2007-08,196617.03,291.47,1.289,0.991,674.57
2008-09,247415.5,421.61,1.93,1.203,586.83
2009-10,254890.96,512.78,2.31,1.465,497.08
2010-11,250691.12,486.1,2.205,1.153,515.72
2011-12,261827.26,714.61,1.343,0.864,366.39
2012-13,256249.43,726.88,0.86,0.618,352.53
2013-14,232109.67,924.37,0.774,0.675,251.1
2014-15,261211.71,1084.06,0.963,0.825,240.96
2015-16,362954.05,1567.29,1.773,1.458,231.58
2016-17,394315.39,1629.64,1.844,1.431,241.96
2017-18,321157.55,1443.76,1.433,1.147,222.45
2018-19,372213.64,1834.57,1.606,1.358,202.89
2019-20,496577.66,2065.82,2.718,1.73,240.38
2020-21,609612.93,2233.31,1.899,1.459,272.96
2021-22,761031.2,2900.7,1.78,1.57,262.36
2022-23,674291.7,2736.99,1.517,1.239,246.36
2023-24 (April-December),563430.16,2380.89,2.404,1.572,236.65
Total,8064863.6899999995,25737.370000000003,0.0,0.0,0.0
