Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,7187.4,2.97,0.683,0.392,2420.0
1988-89,10861.03,4.72,1.198,0.589,2301.07
1990-91,13136.38,7.22,1.339,0.784,1819.44
1991-92,23581.17,13.62,1.037,0.756,1731.36
1992-93,21089.53,13.92,1.45,0.685,1515.05
1993-94,21460.51,13.64,1.142,0.489,1573.35
1994-95,44866.06,31.68,2.214,1.088,1416.23
1995-96,69698.49,56.8,0.931,0.721,1227.09
1996-97,62107.57,64.95,1.017,0.848,956.24
1997-98,91361.04,104.02,2.303,1.445,878.3
1998-99,60280.94,93.04,1.004,0.968,647.9
1999-00,101973.93,128.9,3.003,1.77,791.11
2000-01,106185.62,152.32,2.249,1.672,697.12
2001-02,145375.16,208.04,1.943,2.068,698.78
2002-03,159901.34,242.63,1.39,1.789,659.03
2003-04,164708.51,196.57,1.388,1.397,837.91
2004-05,161937.43,168.77,1.364,1.0,959.52
2005-06,193347.59,214.86,1.886,1.159,899.88
2006-07,254543.13,376.43,2.438,1.787,676.2
2007-08,324816.97,432.96,2.13,1.472,750.22
2008-09,461785.41,588.88,3.602,1.68,784.18
2009-10,395829.97,672.05,3.588,1.92,588.99
2010-11,452679.76,804.38,3.981,1.908,562.77
2011-12,663026.41,1148.87,3.401,1.389,577.11
2012-13,724230.51,1368.51,2.43,1.163,529.21
2013-14,881598.72,2027.99,2.939,1.481,434.72
2014-15,798600.54,2158.67,2.943,1.644,369.95
2015-16,712562.16,2059.42,3.48,1.916,346.0
2016-17,993117.16,2698.16,4.644,2.37,368.07
2017-18,739055.09,1882.32,3.299,1.496,392.63
2018-19,735743.1,2069.66,3.174,1.532,355.49
2019-20,754007.57,2064.77,4.127,1.729,365.18
2020-21,682085.8,2143.2,2.124,1.4,318.26
2021-22,770233.22,2160.74,1.801,1.169,356.47
2022-23,827288.05,2443.04,1.861,1.106,338.63
2023-24 (April-December),733490.6,2236.39,3.13,1.476,327.98
Total,13363753.870000001,31055.11,0.0,0.0,0.0
