Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,0.0,0.0,0.0,0.0,0.0
1988-89,0.0,0.0,0.0,0.0,0.0
1990-91,0.0,0.0,0.0,0.0,0.0
1991-92,0.0,0.0,0.0,0.0,0.0
1992-93,0.0,0.0,0.0,0.0,0.0
1993-94,0.0,0.0,0.0,0.0,0.0
1994-95,0.0,0.0,0.0,0.0,0.0
1995-96,0.0,0.0,0.0,0.0,0.0
1996-97,0.0,0.0,0.0,0.0,0.0
1997-98,0.0,0.0,0.0,0.0,0.0
1998-99,0.0,0.0,0.0,0.0,0.0
1999-00,0.0,0.0,0.0,0.0,0.0
2000-01,0.0,0.0,0.0,0.0,0.0
2001-02,0.0,0.0,0.0,0.0,0.0
2002-03,0.0,0.0,0.0,0.0,0.0
2003-04,0.0,0.0,0.0,0.0,0.0
2004-05,0.0,0.0,0.0,0.0,0.0
2005-06,320.7,2.07,0.003,0.011,154.93
2006-07,1523.47,8.65,0.015,0.041,176.12
2007-08,1710.89,24.64,0.011,0.084,69.44
2008-09,817.82,9.17,0.006,0.026,89.18
2009-10,1120.77,10.58,0.01,0.03,105.93
2010-11,1010.71,9.48,0.009,0.022,106.61
2011-12,305.97,3.51,0.002,0.004,87.17
2012-13,180.75,2.16,0.001,0.002,83.68
2013-14,255.23,3.23,0.001,0.002,79.02
2014-15,261.92,2.67,0.001,0.002,98.1
2015-16,0.0,0.0,0.0,0.0,0.0
2016-17,12.07,0.21,0.0,0.0,57.48
2017-18,1044.43,16.43,0.005,0.013,63.57
2018-19,852.36,13.73,0.004,0.01,62.08
2019-20,1030.41,16.32,0.006,0.014,63.14
2020-21,894.04,18.06,0.003,0.012,49.5
2021-22,1946.95,45.52,0.005,0.025,42.77
2022-23,701.8,16.93,0.002,0.008,41.45
2023-24 (April-December),1.07,0.02,0.0,0.0,53.5
Total,13991.36,203.38000000000002,0.0,0.0,0.0
