Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,0.0,0.0,0.0,0.0,0.0
1988-89,0.0,0.0,0.0,0.0,0.0
1990-91,0.0,0.0,0.0,0.0,0.0
1991-92,0.0,0.0,0.0,0.0,0.0
1992-93,628.53,4.52,0.043,0.222,139.06
1993-94,688.69,4.36,0.037,0.156,157.96
1994-95,823.0,6.0,0.041,0.206,137.17
1995-96,571.75,4.98,0.008,0.063,114.81
1996-97,512.61,4.19,0.008,0.055,122.34
1997-98,249.83,2.46,0.006,0.034,101.56
1998-99,331.43,3.79,0.006,0.039,87.45
1999-00,352.41,4.68,0.01,0.064,75.3
2000-01,638.85,6.29,0.014,0.069,101.57
2001-02,1097.09,6.12,0.015,0.061,179.26
2002-03,1431.5,6.73,0.012,0.05,212.7
2003-04,2154.09,13.94,0.018,0.099,154.53
2004-05,3804.82,22.05,0.032,0.131,172.55
2005-06,3390.94,24.57,0.033,0.133,138.01
2006-07,5338.03,22.0,0.051,0.104,242.64
2007-08,1819.51,9.77,0.012,0.033,186.23
2008-09,1664.66,10.63,0.013,0.03,156.6
2009-10,1654.32,9.51,0.015,0.027,173.96
2010-11,3123.62,17.25,0.027,0.041,181.08
2011-12,2472.04,20.09,0.013,0.024,123.05
2012-13,5455.67,35.15,0.018,0.03,155.21
2013-14,5685.08,70.36,0.019,0.051,80.8
2014-15,9031.31,123.01,0.033,0.094,73.42
2015-16,10716.65,159.66,0.052,0.149,67.12
2016-17,14389.09,190.16,0.067,0.167,75.67
2017-18,13185.92,137.52,0.059,0.109,95.88
2018-19,17364.51,174.27,0.075,0.129,99.64
2019-20,14003.48,137.13,0.077,0.115,102.12
2020-21,10151.6,137.79,0.032,0.09,73.67
2021-22,14056.58,215.23,0.033,0.116,65.31
2022-23,17205.45,534.73,0.039,0.242,32.18
2023-24 (April-December),10759.45,381.57,0.046,0.252,28.2
Total,174752.51,2500.51,0.0,0.0,0.0
