Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,0.0,0.0,0.0,0.0,0.0
1988-89,0.0,0.0,0.0,0.0,0.0
1990-91,0.0,0.0,0.0,0.0,0.0
1991-92,0.0,0.0,0.0,0.0,0.0
1992-93,0.0,0.0,0.0,0.0,0.0
1993-94,0.0,0.0,0.0,0.0,0.0
1994-95,0.0,0.0,0.0,0.0,0.0
1995-96,0.0,0.0,0.0,0.0,0.0
1996-97,0.0,0.0,0.0,0.0,0.0
1997-98,0.0,0.0,0.0,0.0,0.0
1998-99,0.0,0.0,0.0,0.0,0.0
1999-00,0.0,0.0,0.0,0.0,0.0
2000-01,0.0,0.0,0.0,0.0,0.0
2001-02,0.0,0.0,0.0,0.0,0.0
2002-03,0.0,0.0,0.0,0.0,0.0
2003-04,0.0,0.0,0.0,0.0,0.0
2004-05,0.0,0.0,0.0,0.0,0.0
2005-06,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0.0,0.0,0.0,0.0
2007-08,0.0,0.0,0.0,0.0,0.0
2008-09,0.0,0.0,0.0,0.0,0.0
2009-10,0.0,0.0,0.0,0.0,0.0
2010-11,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,0.0
2012-13,0.0,0.0,0.0,0.0,0.0
2013-14,0.0,0.0,0.0,0.0,0.0
2014-15,0.0,0.0,0.0,0.0,0.0
2015-16,0.0,0.0,0.0,0.0,0.0
2016-17,0.0,0.0,0.0,0.0,0.0
2017-18,0.0,0.0,0.0,0.0,0.0
2018-19,0.0,0.0,0.0,0.0,0.0
2019-20,0.0,0.0,0.0,0.0,0.0
2020-21,0.0,0.0,0.0,0.0,0.0
2021-22,0.0,0.0,0.0,0.0,0.0
2022-23,796242.9,3584.39,1.791,1.622,222.14
2023-24 (April-December),566076.74,2788.46,2.415,1.841,203.01
Total,1362319.6400000001,6372.85,0.0,0.0,0.0
