Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,23117.39,24.41,2.197,3.222,947.05
1988-89,41094.1,23.13,4.531,2.887,1776.66
1990-91,29336.27,33.32,2.991,3.616,880.44
1991-92,24356.57,41.73,1.071,2.315,583.67
1992-93,30294.89,57.65,2.084,2.836,525.5
1993-94,25369.84,56.47,1.35,2.024,449.26
1994-95,28738.17,81.34,1.418,2.793,353.31
1995-96,52887.0,137.64,0.706,1.748,384.24
1996-97,34298.17,106.02,0.562,1.384,323.51
1997-98,21727.4,100.78,0.548,1.4,215.59
1998-99,20036.01,116.67,0.334,1.214,171.73
1999-00,34162.53,157.06,1.006,2.157,217.51
2000-01,51462.65,208.03,1.09,2.284,247.38
2001-02,46354.81,187.53,0.619,1.864,247.19
2002-03,57173.91,225.51,0.497,1.662,253.53
2003-04,72994.56,287.09,0.615,2.04,254.26
2004-05,92750.25,329.65,0.781,1.953,281.36
2005-06,122595.52,466.79,1.196,2.518,262.64
2006-07,135972.53,614.6,1.302,2.918,221.24
2007-08,163426.33,640.96,1.072,2.179,254.97
2008-09,158125.14,660.8,1.233,1.885,239.29
2009-10,142037.0,755.91,1.287,2.16,187.9
2010-11,179066.02,941.23,1.575,2.232,190.25
2011-12,223157.97,1236.39,1.145,1.495,180.49
2012-13,193099.15,1357.58,0.648,1.154,142.24
2013-14,204662.62,1707.39,0.682,1.247,119.87
2014-15,180388.47,1913.4,0.665,1.457,94.28
2015-16,177332.52,1994.56,0.866,1.856,88.91
2016-17,210582.41,2280.04,0.985,2.003,92.36
2017-18,226483.9,2211.59,1.011,1.757,102.41
2018-19,248122.32,2474.0,1.07,1.831,100.29
2019-20,253276.97,2760.53,1.386,2.312,91.75
2020-21,403355.38,3718.63,1.256,2.43,108.47
2021-22,460621.0,3986.45,1.077,2.158,115.55
2022-23,410415.99,4987.36,0.923,2.257,82.29
2023-24 (April-December),394713.15,4757.77,1.684,3.141,82.96
Total,5173588.91,41640.009999999995,0.0,0.0,0.0
