Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
1987-88,9433.0,6.64,0.896,0.876,1420.63
1988-89,10156.64,11.56,1.12,1.443,878.6
1990-91,15396.0,21.27,1.57,2.308,723.84
1991-92,25859.0,39.14,1.137,2.172,660.68
1992-93,34354.0,53.49,2.363,2.632,642.25
1993-94,43615.0,73.62,2.32,2.639,592.43
1994-95,50718.0,90.44,2.502,3.106,560.79
1995-96,61410.0,131.82,0.82,1.674,465.86
1996-97,55150.67,131.58,0.903,1.718,419.14
1997-98,170762.45,360.8,4.304,5.012,473.29
1998-99,103692.0,222.63,1.727,2.316,465.76
1999-00,194203.69,419.71,5.719,5.764,462.71
2000-01,244521.46,538.06,5.179,5.907,454.45
2001-02,161981.85,370.47,2.164,3.682,437.23
2002-03,151685.06,352.34,1.318,2.597,430.51
2003-04,152774.18,325.57,1.287,2.314,469.25
2004-05,266987.85,589.85,2.248,3.494,452.64
2005-06,451626.05,1124.66,4.406,6.066,401.57
2006-07,255084.47,789.99,2.443,3.751,322.9
2007-08,170614.39,549.01,1.119,1.866,310.77
2008-09,136877.83,542.32,1.068,1.547,252.39
2009-10,100128.94,408.32,0.908,1.167,245.22
2010-11,209010.49,870.04,1.838,2.063,240.23
2011-12,174554.12,1067.4,0.895,1.291,163.53
2012-13,202751.36,1285.0,0.68,1.092,157.78
2013-14,345276.72,1747.63,1.151,1.276,197.57
2014-15,222262.07,1219.08,0.819,0.928,182.32
2015-16,256051.91,1658.09,1.251,1.543,154.43
2016-17,136968.03,1278.79,0.64,1.123,107.11
2017-18,180193.86,1473.26,0.804,1.171,122.31
2018-19,289593.95,1822.44,1.249,1.349,158.9
2019-20,235698.93,1533.74,1.29,1.285,153.68
2020-21,296169.79,2116.69,0.922,1.383,139.92
2021-22,410375.86,2834.29,0.96,1.534,144.79
2022-23,775024.48,5397.86,1.743,2.443,143.58
2023-24 (April-December),423330.45,3940.27,1.806,2.601,107.44
Total,7024294.55,35397.869999999995,0.0,0.0,0.0
