Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0.0,0.0,0.0,0.0
2007-08,1502.51,1.08,0.01,0.004,1391.21
2008-09,1485.7,1.2,0.012,0.003,1238.08
2009-10,1048.82,1.06,0.01,0.003,989.45
2010-11,577.17,0.68,0.005,0.002,848.78
2011-12,551.43,0.99,0.003,0.001,557.0
2012-13,15751.28,2.71,0.053,0.002,5812.28
2013-14,2848.9,5.15,0.009,0.004,553.18
2014-15,1498.03,2.03,0.006,0.002,737.95
2015-16,2463.49,4.33,0.012,0.004,568.94
2016-17,5162.76,16.94,0.024,0.015,304.77
2017-18,12616.19,34.37,0.056,0.027,367.07
2018-19,10583.91,34.81,0.046,0.026,304.05
2019-20,10159.04,39.7,0.056,0.033,255.9
2020-21,18031.37,75.88,0.056,0.05,237.63
2021-22,30391.04,128.25,0.071,0.069,236.97
2022-23,45540.12,164.17,0.102,0.074,277.4
2023-24 (April-December),7994.18,52.01,0.034,0.034,153.7
Total,168205.94,565.3599999999999,0.0,0.0,0.0
