Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0.0,0.0,0.0,0.0
2007-08,0.0,0.0,0.0,0.0,0.0
2008-09,0.0,0.0,0.0,0.0,0.0
2009-10,0.0,0.0,0.0,0.0,0.0
2010-11,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,0.0
2012-13,35964.6,79.16,0.121,0.067,454.33
2013-14,79317.45,195.99,0.264,0.143,404.7
2014-15,95149.6,228.44,0.351,0.174,416.52
2015-16,142645.5,312.34,0.697,0.291,456.7
2016-17,132701.0,310.19,0.62,0.272,427.81
2017-18,52744.0,133.78,0.235,0.106,394.26
2018-19,11596.0,28.23,0.05,0.021,410.77
2019-20,26686.05,68.99,0.146,0.058,386.81
2020-21,39657.56,109.13,0.124,0.071,363.4
2021-22,35635.87,84.46,0.083,0.046,421.93
2022-23,70292.81,196.37,0.158,0.089,357.96
2023-24 (April-December),52197.64,173.02,0.223,0.114,301.69
Total,774588.08,1920.1,0.0,0.0,0.0
