Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,24195.3,90.94,0.236,0.491,266.06
2006-07,28119.64,94.02,0.269,0.446,299.08
2007-08,2645982.19,6768.69,17.352,23.011,390.91
2008-09,2595820.52,9347.72,20.245,26.665,277.7
2009-10,2271695.24,11186.25,20.59,31.962,203.08
2010-11,2346309.08,10668.12,20.633,25.298,219.94
2011-12,4436013.71,20311.29,22.751,24.564,218.4
2012-13,8600799.13,30992.05,28.857,26.343,277.52
2013-14,7809850.9,33507.74,26.031,24.472,233.08
2014-15,7170775.95,32177.83,26.427,24.499,222.85
2015-16,5318456.96,24946.01,25.976,23.209,213.2
2016-17,5227109.1,25610.07,24.441,22.493,204.1
2017-18,5703552.23,30115.18,25.457,23.928,189.39
2018-19,6210524.45,37818.28,26.789,27.99,164.22
2019-20,5784350.21,35791.67,31.658,29.976,161.61
2020-21,8468681.71,40281.04,26.374,26.319,210.24
2021-22,12270607.28,51000.87,28.694,27.602,240.6
2022-23,13875333.85,67899.09,31.206,30.732,204.35
2023-24 (April-December),5623860.46,40906.39,23.996,27.005,137.48
Total,106412037.91,509513.25,0.0,0.0,0.0
