Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0.0,0.0,0.0,0.0
2007-08,0.0,0.0,0.0,0.0,0.0
2008-09,0.0,0.0,0.0,0.0,0.0
2009-10,0.0,0.0,0.0,0.0,0.0
2010-11,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,0.0
2012-13,0.0,0.0,0.0,0.0,0.0
2013-14,0.0,0.0,0.0,0.0,0.0
2014-15,2.2,0.02,0.0,0.0,110.0
2015-16,0.0,0.0,0.0,0.0,0.0
2016-17,52.94,0.26,0.0,0.0,203.62
2017-18,5.02,0.06,0.0,0.0,83.67
2018-19,1.2,0.02,0.0,0.0,60.0
2019-20,3.22,0.05,0.0,0.0,64.4
2020-21,430.2,2.25,0.001,0.001,191.2
2021-22,3.5,0.03,0.0,0.0,116.67
2022-23,744.14,15.42,0.002,0.007,48.26
2023-24 (April-December),886.0,18.39,0.004,0.012,48.18
Total,2128.42,36.5,0.0,0.0,0.0
