Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0.0,0.0,0.0,0.0
2007-08,0.0,0.0,0.0,0.0,0.0
2008-09,0.0,0.0,0.0,0.0,0.0
2009-10,0.0,0.0,0.0,0.0,0.0
2010-11,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,0.0
2012-13,0.0,0.0,0.0,0.0,0.0
2013-14,0.0,0.0,0.0,0.0,0.0
2014-15,0.0,0.0,0.0,0.0,0.0
2015-16,0.0,0.0,0.0,0.0,0.0
2016-17,0.0,0.0,0.0,0.0,0.0
2017-18,0.0,0.0,0.0,0.0,0.0
2018-19,0.25,0.02,0.0,0.0,12.5
2019-20,0.28,0.02,0.0,0.0,14.0
2020-21,0.3,0.01,0.0,0.0,30.0
2021-22,0.6,0.06,0.0,0.0,10.0
2022-23,0.0,0.0,0.0,0.0,0.0
2023-24 (April-December),0.0,0.0,0.0,0.0,0.0
Total,1.4300000000000002,0.11,0.0,0.0,0.0
