Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,51066.35,219.11,0.498,1.182,233.06
2006-07,62439.27,294.1,0.598,1.396,212.31
2007-08,2389812.81,7712.84,15.672,26.221,309.85
2008-09,3050887.57,10932.97,23.795,31.187,279.05
2009-10,2619654.83,11036.27,23.743,31.534,237.37
2010-11,2804730.38,12453.66,24.665,29.533,225.21
2011-12,3858111.31,18369.49,19.787,22.216,210.03
2012-13,4600257.26,22573.3,15.435,19.187,203.79
2013-14,4881918.85,30078.91,16.272,21.968,162.3
2014-15,4322205.66,28941.01,15.929,22.035,149.35
2015-16,3674133.29,26123.04,17.945,24.304,140.65
2016-17,4173436.53,27223.3,19.514,23.91,153.3
2017-18,4049878.02,25722.97,18.076,20.438,157.44
2018-19,4659680.65,27163.95,20.099,20.105,171.54
2019-20,3290904.45,23950.53,18.012,20.059,137.4
2020-21,4839959.91,28183.15,15.073,18.414,171.73
2021-22,5392429.76,31918.17,12.61,17.275,168.95
2022-23,6984096.14,40427.67,15.708,18.298,172.76
2023-24 (April-December),4285350.16,29029.55,18.285,19.164,147.62
Total,69990953.2,402353.98999999993,0.0,0.0,0.0
