Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,73.93,0.23,0.001,0.001,321.43
2006-07,8.4,0.03,0.0,0.0,280.0
2007-08,15.5,0.04,0.0,0.0,387.5
2008-09,0.0,0.0,0.0,0.0,0.0
2009-10,36.64,0.36,0.0,0.001,101.78
2010-11,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,0.0
2012-13,966.25,2.1,0.003,0.002,460.12
2013-14,5003.25,12.2,0.017,0.009,410.1
2014-15,9389.75,36.19,0.035,0.028,259.46
2015-16,5299.5,15.5,0.026,0.014,341.9
2016-17,0.0,0.0,0.0,0.0,0.0
2017-18,0.0,0.0,0.0,0.0,0.0
2018-19,0.0,0.0,0.0,0.0,0.0
2019-20,0.0,0.0,0.0,0.0,0.0
2020-21,0.0,0.0,0.0,0.0,0.0
2021-22,0.0,0.0,0.0,0.0,0.0
2022-23,0.0,0.0,0.0,0.0,0.0
2023-24 (April-December),0.0,0.0,0.0,0.0,0.0
Total,20793.22,66.64999999999999,0.0,0.0,0.0
