Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,0.0,0.0,0.0,0.0,0.0
2006-07,2.0,0.01,0.0,0.0,200.0
2007-08,362.66,0.39,0.002,0.001,929.9
2008-09,160.15,0.34,0.001,0.001,471.03
2009-10,1506.91,0.69,0.014,0.002,2183.93
2010-11,42.31,0.05,0.0,0.0,846.2
2011-12,25.13,0.1,0.0,0.0,251.3
2012-13,391.3,0.46,0.001,0.0,850.65
2013-14,32.42,0.03,0.0,0.0,1080.67
2014-15,98.87,0.09,0.0,0.0,1098.56
2015-16,1168.83,1.2,0.006,0.001,974.02
2016-17,1886.23,2.39,0.009,0.002,789.22
2017-18,52.0,0.06,0.0,0.0,866.67
2018-19,40.0,0.17,0.0,0.0,235.29
2019-20,0.0,0.0,0.0,0.0,0.0
2020-21,16.0,0.02,0.0,0.0,800.0
2021-22,40.0,0.06,0.0,0.0,666.67
2022-23,152.0,0.27,0.0,0.0,562.96
2023-24 (April-December),0.0,0.0,0.0,0.0,0.0
Total,5976.8099999999995,6.33,0.0,0.0,0.0
