Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,9013.05,32.1,0.088,0.173,280.78
2006-07,2548.38,9.3,0.024,0.044,274.02
2007-08,299755.32,941.75,1.966,3.202,318.3
2008-09,657921.54,2270.83,5.131,6.478,289.73
2009-10,313027.51,1102.22,2.837,3.149,284.0
2010-11,232196.98,1208.16,2.042,2.865,192.19
2011-12,632127.56,2566.74,3.242,3.104,246.28
2012-13,905067.24,3719.86,3.037,3.162,243.31
2013-14,1036692.42,5169.29,3.455,3.775,200.55
2014-15,821018.61,4381.63,3.026,3.336,187.38
2015-16,513037.05,3101.57,2.506,2.886,165.41
2016-17,609972.92,3100.71,2.852,2.723,196.72
2017-18,441266.34,3328.72,1.97,2.645,132.56
2018-19,440551.24,3632.02,1.9,2.688,121.3
2019-20,394267.6,3210.74,2.158,2.689,122.8
2020-21,437824.72,3553.23,1.364,2.322,123.22
2021-22,346117.59,2984.5,0.809,1.615,115.97
2022-23,519919.48,5312.81,1.169,2.405,97.86
2023-24 (April-December),391989.39,4292.01,1.673,2.833,91.33
Total,9004314.940000001,53918.189999999995,0.0,0.0,0.0
