Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,37.2,0.15,0.0,0.001,248.0
2006-07,686.22,2.31,0.007,0.011,297.06
2007-08,3539.65,8.79,0.023,0.03,402.69
2008-09,279.0,0.68,0.002,0.002,410.29
2009-10,351.3,1.7,0.003,0.005,206.65
2010-11,1196.6,5.8,0.011,0.014,206.31
2011-12,20.0,0.18,0.0,0.0,111.11
2012-13,0.0,0.0,0.0,0.0,0.0
2013-14,0.0,0.0,0.0,0.0,0.0
2014-15,0.0,0.0,0.0,0.0,0.0
2015-16,0.0,0.0,0.0,0.0,0.0
2016-17,0.0,0.0,0.0,0.0,0.0
2017-18,0.0,0.0,0.0,0.0,0.0
2018-19,14.17,0.14,0.0,0.0,101.21
2019-20,34.77,0.22,0.0,0.0,158.05
2020-21,100.22,0.59,0.0,0.0,169.86
2021-22,67.8,0.4,0.0,0.0,169.5
2022-23,868.01,3.95,0.002,0.002,219.75
2023-24 (April-December),567.29,2.84,0.002,0.002,199.75
Total,7762.23,27.749999999999996,0.0,0.0,0.0
