Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0.0,0.0,0.0,0.0
2007-08,0.0,0.0,0.0,0.0,0.0
2008-09,0.0,0.0,0.0,0.0,0.0
2009-10,0.0,0.0,0.0,0.0,0.0
2010-11,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,0.0
2012-13,0.0,0.0,0.0,0.0,0.0
2013-14,2591.35,10.9,0.009,0.008,237.74
2014-15,3502.33,19.75,0.013,0.015,177.33
2015-16,8222.92,30.53,0.04,0.028,269.34
2016-17,7404.12,36.5,0.035,0.032,202.85
2017-18,2279.84,8.1,0.01,0.006,281.46
2018-19,3646.34,19.29,0.016,0.014,189.03
2019-20,655.7,5.25,0.004,0.004,124.9
2020-21,6273.72,28.47,0.02,0.019,220.36
2021-22,10984.62,50.53,0.026,0.027,217.39
2022-23,10727.72,50.19,0.024,0.023,213.74
2023-24 (April-December),3344.61,18.51,0.014,0.012,180.69
Total,59633.270000000004,278.02,0.0,0.0,0.0
