Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,14708.67,48.12,0.143,0.26,305.67
2006-07,24943.13,77.66,0.239,0.369,321.18
2007-08,3151109.14,3706.5,20.664,12.601,850.16
2008-09,2504015.54,3742.46,19.529,10.676,669.08
2009-10,2556808.98,3845.25,23.174,10.987,664.93
2010-11,1880398.57,4209.7,16.536,9.983,446.68
2011-12,2715091.74,6723.89,13.925,8.132,403.8
2012-13,3063905.84,8037.82,10.28,6.832,381.19
2013-14,2661884.5,8279.96,8.872,6.047,321.49
2014-15,2353676.29,8023.91,8.674,6.109,293.33
2015-16,1652338.66,7936.47,8.07,7.384,208.2
2016-17,1427669.6,8393.87,6.675,7.372,170.08
2017-18,1428493.91,8258.95,6.376,6.562,172.96
2018-19,1569515.26,8662.79,6.77,6.412,181.18
2019-20,1221738.44,8114.54,6.687,6.796,150.56
2020-21,1617311.32,9323.31,5.037,6.092,173.47
2021-22,2342621.64,11465.25,5.478,6.205,204.32
2022-23,2451305.9,12274.43,5.513,5.556,199.71
2023-24 (April-December),1842658.24,9792.81,7.862,6.465,188.16
Total,36480195.37,130917.69,0.0,0.0,0.0
