Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,0.0,0.0,0.0,0.0,0.0
2006-07,8.0,0.02,0.0,0.0,400.0
2007-08,41.29,0.03,0.0,0.0,1376.33
2008-09,64.44,0.05,0.001,0.0,1288.8
2009-10,72.05,0.04,0.001,0.0,1801.25
2010-11,56.05,0.08,0.0,0.0,700.62
2011-12,107.04,0.32,0.001,0.0,334.5
2012-13,239.55,0.25,0.001,0.0,958.2
2013-14,4.0,0.01,0.0,0.0,400.0
2014-15,146.76,0.21,0.001,0.0,698.86
2015-16,604.62,1.07,0.003,0.001,565.07
2016-17,0.0,0.0,0.0,0.0,0.0
2017-18,208.53,0.15,0.001,0.0,1390.2
2018-19,852.81,2.67,0.004,0.002,319.4
2019-20,12.74,0.02,0.0,0.0,637.0
2020-21,131.09,0.15,0.0,0.0,873.93
2021-22,84039.76,199.46,0.197,0.108,421.34
2022-23,37323.49,99.24,0.084,0.045,376.09
2023-24 (April-December),1278.17,2.22,0.005,0.001,575.75
Total,125190.39,305.99,0.0,0.0,0.0
