Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,9.01,0.02,0.0,0.0,450.5
2006-07,3.44,0.02,0.0,0.0,172.0
2007-08,908.5,0.85,0.006,0.003,1068.82
2008-09,1320.24,1.02,0.01,0.003,1294.35
2009-10,451.84,0.41,0.004,0.001,1102.05
2010-11,2956.91,5.19,0.026,0.012,569.73
2011-12,2842.86,4.64,0.015,0.006,612.69
2012-13,3116.82,5.68,0.01,0.005,548.74
2013-14,1606.17,4.15,0.005,0.003,387.03
2014-15,5710.22,13.27,0.021,0.01,430.31
2015-16,12604.31,31.8,0.062,0.03,396.36
2016-17,11222.59,28.64,0.052,0.025,391.85
2017-18,17573.5,95.19,0.078,0.076,184.61
2018-19,16293.33,69.38,0.07,0.051,234.84
2019-20,14645.66,78.03,0.08,0.065,187.69
2020-21,18686.31,96.72,0.058,0.063,193.2
2021-22,15673.6,95.4,0.037,0.052,164.29
2022-23,22430.86,145.19,0.05,0.066,154.49
2023-24 (April-December),21592.44,145.96,0.092,0.096,147.93
Total,169648.61000000002,821.56,0.0,0.0,0.0
