Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2005-06,10104716.28,17909.28,98.572,96.603,564.22
2006-07,10282276.84,20405.94,98.487,96.888,503.89
2007-08,16427.48,49.89,0.108,0.17,329.27
2008-09,0.0,0.0,0.0,0.0,0.0
2009-10,0.0,0.0,0.0,0.0,0.0
2010-11,2092.31,18.82,0.018,0.045,111.17
2011-12,10103.67,27.38,0.052,0.033,369.02
2012-13,0.0,0.0,0.0,0.0,0.0
2013-14,0.0,0.0,0.0,0.0,0.0
2014-15,0.0,0.0,0.0,0.0,0.0
2015-16,0.0,0.0,0.0,0.0,0.0
2016-17,0.0,0.0,0.0,0.0,0.0
2017-18,0.0,0.0,0.0,0.0,0.0
2018-19,0.0,0.0,0.0,0.0,0.0
2019-20,0.0,0.0,0.0,0.0,0.0
2020-21,0.0,0.0,0.0,0.0,0.0
2021-22,0.0,0.0,0.0,0.0,0.0
2022-23,0.0,0.0,0.0,0.0,0.0
2023-24 (April-December),0.0,0.0,0.0,0.0,0.0
Total,20415616.58,38411.31,0.0,0.0,0.0
