Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,235669.97,558.38,7.071,5.49,422.06
2009-10,499815.95,1073.21,9.726,6.739,465.72
2010-11,371771.73,1032.74,8.894,7.093,359.99
2011-12,321382.41,1085.26,6.893,6.037,296.13
2012-13,758714.6,2827.32,14.625,12.468,268.35
2013-14,390624.09,1373.01,8.002,5.726,284.5
2014-15,405887.92,1416.34,6.659,4.491,286.58
2015-16,1417943.35,5152.59,17.325,12.338,275.19
2016-17,3412572.44,9894.64,22.209,15.726,344.89
2017-18,1851666.33,6987.62,18.276,14.672,264.99
2018-19,101981.7,444.6,1.737,1.097,229.38
2019-20,170418.42,638.97,2.499,1.527,266.71
2020-21,197653.7,875.15,3.41,2.14,225.85
2021-22,219526.12,1239.35,3.349,2.287,177.13
2022-23,460948.57,2739.2,6.772,4.146,168.28
2023-24 (April-November),697938.26,3829.1,12.785,7.054,182.27
Total,11514515.56,41167.479999999996,0.0,0.0,0.0
