Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,922189.71,2111.13,27.668,20.757,436.82
2009-10,1477138.7,2799.0,28.745,17.577,527.74
2010-11,1283527.7,2222.01,30.706,15.261,577.64
2011-12,1444050.19,3033.57,30.974,16.875,476.02
2012-13,1110741.21,3036.6,21.411,13.391,365.78
2013-14,1507884.32,4637.19,30.888,19.34,325.17
2014-15,2201076.01,6635.32,36.112,21.041,331.72
2015-16,2516806.32,9353.02,30.751,22.395,269.09
2016-17,2405998.06,7814.08,15.658,12.419,307.91
2017-18,1706441.92,4600.68,16.843,9.66,370.91
2018-19,525897.73,1309.48,8.955,3.231,401.61
2019-20,1085617.71,2903.59,15.922,6.937,373.89
2020-21,969688.24,3939.71,16.732,9.632,246.13
2021-22,532600.33,3125.27,8.125,5.767,170.42
2022-23,491161.6,3109.36,7.216,4.707,157.96
2023-24 (April-November),526400.99,3591.91,9.643,6.617,146.55
Total,20707220.740000002,64221.92,0.0,0.0,0.0
