Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,109004.05,475.88,3.27,4.679,229.06
2009-10,220433.32,964.94,4.29,6.059,228.44
2010-11,218999.26,881.0,5.239,6.051,248.58
2011-12,270519.61,1372.21,5.802,7.633,197.14
2012-13,199890.94,1252.88,3.853,5.525,159.55
2013-14,189917.18,1363.29,3.89,5.686,139.31
2014-15,194124.4,1281.66,3.185,4.064,151.46
2015-16,199262.7,1251.57,2.435,2.997,159.21
2016-17,317980.77,1949.98,2.069,3.099,163.07
2017-18,197809.17,1299.13,1.952,2.728,152.26
2018-19,108747.33,922.24,1.852,2.276,117.92
2019-20,133074.42,1084.25,1.952,2.59,122.73
2020-21,95615.1,956.68,1.65,2.339,99.94
2021-22,80714.61,1004.99,1.231,1.855,80.31
2022-23,93415.66,1526.48,1.373,2.311,61.2
2023-24 (April-November),94644.04,1318.67,1.734,2.429,71.77
Total,2724152.5600000005,18905.850000000002,0.0,0.0,0.0
