Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,70316.08,91.19,2.11,0.897,771.09
2009-10,158088.55,203.49,3.076,1.278,776.89
2010-11,150248.43,230.53,3.594,1.583,651.75
2011-12,128116.8,231.93,2.748,1.29,552.39
2012-13,144513.31,302.5,2.786,1.334,477.73
2013-14,138393.44,336.08,2.835,1.402,411.79
2014-15,145768.51,361.42,2.392,1.146,403.32
2015-16,144676.19,373.56,1.768,0.894,387.29
2016-17,147255.92,393.2,0.958,0.625,374.51
2017-18,146434.46,415.49,1.445,0.872,352.44
2018-19,166846.36,479.32,2.841,1.183,348.09
2019-20,142090.12,447.32,2.084,1.069,317.65
2020-21,201969.71,603.69,3.485,1.476,334.56
2021-22,199794.54,581.8,3.048,1.074,343.41
2022-23,217256.69,647.77,3.192,0.981,335.39
2023-24 (April-November),91691.86,255.42,1.68,0.471,358.98
Total,2393460.9699999997,5954.709999999999,0.0,0.0,0.0
