Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,32.43,0.17,0.001,0.002,190.76
2009-10,144.38,0.98,0.003,0.006,147.33
2010-11,310.69,2.1,0.007,0.014,147.95
2011-12,238.13,2.35,0.005,0.013,101.33
2012-13,2.97,0.07,0.0,0.0,42.43
2013-14,13.03,1.07,0.0,0.004,12.18
2014-15,0.0,0.0,0.0,0.0,0.0
2015-16,80.71,0.82,0.001,0.002,98.43
2016-17,0.3,0.01,0.0,0.0,30.0
2017-18,34.81,1.23,0.0,0.003,28.3
2018-19,77.53,4.94,0.001,0.012,15.69
2019-20,45.55,2.22,0.001,0.005,20.52
2020-21,374.0,3.34,0.006,0.008,111.98
2021-22,69.08,1.29,0.001,0.002,53.55
2022-23,0.0,0.0,0.0,0.0,0.0
2023-24 (April-November),9.55,0.23,0.0,0.0,41.52
Total,1433.16,20.82,0.0,0.0,0.0
