Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,163365.67,658.26,4.901,6.472,248.18
2009-10,305740.38,1088.07,5.95,6.833,280.99
2010-11,350566.48,1185.52,8.387,8.142,295.71
2011-12,263169.6,1341.18,5.645,7.461,196.22
2012-13,283995.45,1627.74,5.474,7.178,174.47
2013-14,311833.19,1932.76,6.388,8.061,161.34
2014-15,467023.41,2572.99,7.662,8.159,181.51
2015-16,540312.63,3153.83,6.602,7.552,171.32
2016-17,767642.65,4142.82,4.996,6.584,185.29
2017-18,745037.29,4306.0,7.354,9.041,173.02
2018-19,689214.48,4477.83,11.737,11.05,153.92
2019-20,653498.97,3868.07,9.585,9.241,168.95
2020-21,709960.71,3881.63,12.25,9.49,182.9
2021-22,488242.94,3567.56,7.449,6.583,136.86
2022-23,224601.47,2715.75,3.3,4.111,82.7
2023-24 (April-November),151810.56,2000.21,2.781,3.685,75.9
Total,7116015.879999999,42520.22,0.0,0.0,0.0
