Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Pulses,2410926.4,17462.84,44.163,32.172,138.06
Cashew Kernels,984859.27,9155.89,18.04,16.868,107.57
Alcoholic Beverages,247084.11,6595.81,4.526,12.151,37.46
Other Fresh Fruits,781295.62,5667.37,14.312,10.441,137.86
Cocoa Products,75131.68,2394.7,1.376,4.412,31.37
Miscellaneous Preparations,213034.82,2313.52,3.902,4.262,92.08
Prepared Animal Feeder,112473.24,1838.49,2.06,3.387,61.18
Cereal Preparations,79070.79,1214.17,1.448,2.237,65.12
"Processed Fruits, Juices & Nuts",54738.93,1154.15,1.003,2.126,47.43
Jaggery & Confectionery,65846.87,1002.51,1.206,1.847,65.68
Fruits & Vegetables Seeds,17312.24,983.91,0.317,1.813,17.6
Others (Betel Leaves & Nuts),30271.49,979.66,0.555,1.805,30.9
Albumin( Eggs & Milk ),12342.78,718.27,0.226,1.323,17.18
Walnuts,48964.36,602.47,0.897,1.11,81.27
Other Cereals,118308.42,388.74,2.167,0.716,304.34
Dairy Products,20001.73,342.93,0.366,0.632,58.33
Other Fresh Vegetables,32643.02,277.97,0.598,0.512,117.43
Processed Vegetables,15830.67,218.85,0.29,0.403,72.34
Wheat,61855.16,187.45,1.133,0.345,329.98
Floriculture,6824.98,182.12,0.125,0.336,37.48
Fresh Grapes,16597.5,171.67,0.304,0.316,96.68
Casein,1293.66,122.49,0.024,0.226,10.56
Fresh Onions,19985.43,85.7,0.366,0.158,233.2
Maize,6625.51,43.04,0.121,0.079,153.94
Poultry Products,248.56,36.64,0.005,0.068,6.78
Other Oil Cake/Solid Resdus,15103.0,24.34,0.277,0.045,620.5
Non Basmati Rice,2875.42,23.23,0.053,0.043,123.78
Other Meat,422.77,19.27,0.008,0.036,21.94
Milled Products,2133.32,13.83,0.039,0.025,154.25
Groundnuts,1276.87,13.77,0.023,0.025,92.73
Natural Honey,335.76,10.94,0.006,0.02,30.69
Cashewnut Shell Liquid,2846.31,10.92,0.052,0.02,260.65
Sheep/Goat Meat,162.14,10.67,0.003,0.02,15.2
Guargum,179.36,7.38,0.003,0.014,24.3
Processed Meat,27.6,1.51,0.001,0.003,18.28
Fresh Mangoes,91.98,1.42,0.002,0.003,64.77
Millet,117.11,1.05,0.002,0.002,111.53
Cucumber and Gherkins( Prepd. &  Presvd),15.45,0.32,0.0,0.001,48.28
Mango Pulp,18.6,0.26,0.0,0.0,71.54
Animal Casings,0.04,0.01,0.0,0.0,4.0
Total,5459172.97,54280.28,100.0,100.0,100.57
