Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,95641.15,719.78,2.869,7.077,132.88
2009-10,339631.23,1197.81,6.609,7.522,283.54
2010-11,139058.07,973.06,3.327,6.683,142.91
2011-12,104723.69,1244.21,2.246,6.921,84.17
2012-13,44011.92,1344.98,0.848,5.931,32.72
2013-14,101308.28,1983.96,2.075,8.274,51.06
2014-15,160664.94,2383.77,2.636,7.559,67.4
2015-16,283096.37,2806.74,3.459,6.721,100.86
2016-17,433798.28,3476.31,2.823,5.525,124.79
2017-18,563713.41,3875.86,5.564,8.138,145.44
2018-19,587958.73,4678.72,10.012,11.546,125.67
2019-20,576784.39,4643.52,8.459,11.094,124.21
2020-21,643688.41,3983.17,11.107,9.739,161.6
2021-22,559597.64,5059.25,8.537,9.336,110.61
2022-23,324285.63,6151.85,4.765,9.312,52.71
2023-24 (April-November),247084.11,6595.81,4.526,12.151,37.46
Total,5205046.25,51118.8,0.0,0.0,0.0
