Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,0.0,0.0,0.0,0.0,0.0
2009-10,0.0,0.0,0.0,0.0,0.0
2010-11,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,0.0
2012-13,0.0,0.0,0.0,0.0,0.0
2013-14,0.0,0.0,0.0,0.0,0.0
2014-15,0.0,0.0,0.0,0.0,0.0
2015-16,0.0,0.0,0.0,0.0,0.0
2016-17,34.71,0.14,0.0,0.0,247.93
2017-18,499.36,2.51,0.005,0.005,198.95
2018-19,5.1,3.07,0.0,0.008,1.66
2019-20,3.6,1.6,0.0,0.004,2.25
2020-21,2.1,1.36,0.0,0.003,1.54
2021-22,3.1,2.05,0.0,0.004,1.51
2022-23,0.5,0.37,0.0,0.001,1.35
2023-24 (April-November),0.0,0.0,0.0,0.0,0.0
Total,548.4700000000001,11.100000000000001,0.0,0.0,0.0
