Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,0.0,0.0,0.0,0.0,0.0
2009-10,0.0,0.0,0.0,0.0,0.0
2010-11,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,0.0
2012-13,0.0,0.0,0.0,0.0,0.0
2013-14,0.0,0.0,0.0,0.0,0.0
2014-15,0.0,0.0,0.0,0.0,0.0
2015-16,0.0,0.0,0.0,0.0,0.0
2016-17,774503.55,9027.09,5.04,14.347,85.8
2017-18,654019.76,9134.33,6.455,19.18,71.6
2018-19,839636.44,11162.32,14.298,27.546,75.22
2019-20,941416.21,9026.34,13.807,21.565,104.3
2020-21,834399.66,7491.21,14.397,18.316,111.38
2021-22,939198.52,9338.37,14.329,17.232,100.57
2022-23,1332173.08,14369.51,19.573,21.751,92.71
2023-24 (April-November),984859.27,9155.89,18.04,16.868,107.57
Total,7300206.49,78705.06,0.0,0.0,0.0
