Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,0.0,0.0,0.0,0.0,0.0
2009-10,0.0,0.0,0.0,0.0,0.0
2010-11,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,0.0
2012-13,0.0,0.0,0.0,0.0,0.0
2013-14,0.0,0.0,0.0,0.0,0.0
2014-15,0.0,0.0,0.0,0.0,0.0
2015-16,0.0,0.0,0.0,0.0,0.0
2016-17,1653.06,3.53,0.011,0.006,468.29
2017-18,1593.0,3.15,0.016,0.007,505.71
2018-19,6606.39,17.98,0.112,0.044,367.43
2019-20,8661.92,21.33,0.127,0.051,406.09
2020-21,2198.93,5.81,0.038,0.014,378.47
2021-22,6523.32,20.83,0.1,0.038,313.17
2022-23,3065.99,10.77,0.045,0.016,284.68
2023-24 (April-November),2846.31,10.92,0.052,0.02,260.65
Total,33148.92,94.32,0.0,0.0,0.0
