Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,30745.39,183.31,0.922,1.802,167.72
2009-10,39125.98,188.92,0.761,1.186,207.1
2010-11,37723.72,243.43,0.902,1.672,154.97
2011-12,45829.28,316.39,0.983,1.76,144.85
2012-13,50428.01,359.98,0.972,1.587,140.09
2013-14,52374.22,405.08,1.073,1.689,129.29
2014-15,63249.61,568.93,1.038,1.804,111.17
2015-16,61392.61,572.6,0.75,1.371,107.22
2016-17,67030.69,584.53,0.436,0.929,114.67
2017-18,71097.54,659.68,0.702,1.385,107.78
2018-19,90248.58,967.21,1.537,2.387,93.31
2019-20,96278.08,1007.31,1.412,2.407,95.58
2020-21,113372.08,1213.18,1.956,2.966,93.45
2021-22,124806.96,1527.84,1.904,2.819,81.69
2022-23,107923.98,1711.03,1.586,2.59,63.08
2023-24 (April-November),79070.79,1214.17,1.448,2.237,65.12
Total,1130697.52,11723.59,0.0,0.0,0.0
